case_id,copied_pyc,package,version,python_tag,replay_status,exception_type,exception_message,pyc_path
d55dfcba697a,aimmocore-0.1.15-cpython-38-d55dfcba697a.pyc,aimmocore,0.1.15,cpython-38,exit_1,AssertionError,comp_if_or_not,aimmocore/core/__pycache__/storages.cpython-38.pyc
925f60668dba,aimmocore-0.1.15-cpython-38-925f60668dba.pyc,aimmocore,0.1.15,cpython-38,exit_1,AssertionError,comp_if_or_not,aimmocore-0.1.15/aimmocore/core/__pycache__/storages.cpython-38.pyc
704c99d27ff4,aioinstagrapi-1.1.21-cpython-38-704c99d27ff4.pyc,aioinstagrapi,1.1.21,cpython-38,exit_1,AssertionError,"at ifpoplaststmtc[2], expected 'c_stmts' node; got 'pass'",aioinstagrapi/mixins/__pycache__/hashtag.cpython-38.pyc
4b50f1a66772,aioinstagrapi-1.1.21-cpython-38-4b50f1a66772.pyc,aioinstagrapi,1.1.21,cpython-38,exit_1,AssertionError,"at ifpoplaststmtc[2], expected 'c_stmts' node; got 'pass'",aioinstagrapi-1.1.21/aioinstagrapi/mixins/__pycache__/hashtag.cpython-38.pyc
6c3a28494a6e,assignment-autograder-3.7.6-cpython-38-6c3a28494a6e.pyc,assignment-autograder,3.7.6,cpython-38,exit_1,AssertionError,,assignment-autograder-3.7.6/autograder/testcase_utils/__pycache__/shell.cpython-38.pyc
431d4b666e96,autograder-3.7.7-cpython-38-431d4b666e96.pyc,autograder,3.7.7,cpython-38,exit_1,AssertionError,,autograder-3.7.7/autograder/testcase_utils/__pycache__/shell.cpython-38.pyc
38b39ff46fa4,bestfit-0.3-cpython-38-38b39ff46fa4.pyc,bestfit,0.3,cpython-38,exit_1,AssertionError,list_comp (2),bestFit-0.3/venv/lib/python3.8/site-packages/babel/messages/__pycache__/mofile.cpython-38.pyc
1a7f74664829,bestfit-0.3-cpython-38-1a7f74664829.pyc,bestfit,0.3,cpython-38,exit_1,AssertionError,,bestFit-0.3/venv/lib/python3.8/site-packages/matplotlib/axes/__pycache__/_base.cpython-38.pyc
45d31ed4da2a,bestfit-0.3-cpython-38-45d31ed4da2a.pyc,bestfit,0.3,cpython-38,exit_1,AssertionError,comp_if_or,bestFit-0.3/venv/lib/python3.8/site-packages/poetry/core/_vendor/lark/__pycache__/reconstruct.cpython-38.pyc
6a58169ea369,bestfit-0.3-cpython-38-6a58169ea369.pyc,bestfit,0.3,cpython-38,exit_1,AssertionError,comp_if_or,bestFit-0.3/venv/lib/python3.8/site-packages/poetry/core/_vendor/lark/__pycache__/reconstruct2.cpython-38.pyc
7baa63f29525,django-connectwise-1.20.0-cpython-38-7baa63f29525.pyc,django-connectwise,1.20.0,cpython-38,exit_1,AssertionError,,djconnectwise/__pycache__/api.cpython-38.pyc
8db6662a7e0a,jembe-0.3.15-cpython-38-8db6662a7e0a.pyc,jembe,0.3.15,cpython-38,exit_1,AssertionError,comp_if_not_or,jembe/__pycache__/processor.cpython-38.pyc
aee6a2bd9a47,jembe-0.3.15-cpython-38-aee6a2bd9a47.pyc,jembe,0.3.15,cpython-38,exit_1,AssertionError,comp_if_not_or,jembe-0.3.15/jembe/__pycache__/processor.cpython-38.pyc
d91025464e70,mqc-2.0.2-cpython-38-d91025464e70.pyc,mqc,2.0.2,cpython-38,exit_1,AssertionError,"at ifpoplaststmtc[2], expected 'c_stmts' node; got 'pass'",mqc/control/__pycache__/atp_control.cpython-38.pyc
103e9114ef7c,mqc-2.0.2-cpython-38-103e9114ef7c.pyc,mqc,2.0.2,cpython-38,exit_1,AssertionError,"at ifpoplaststmtc[2], expected 'c_stmts' node; got 'pass'",mqc-2.0.2/mqc/control/__pycache__/atp_control.cpython-38.pyc
e606e617645a,multiqc-vlad-1.30.dev20250821143134-cpython-38-e606e617645a.pyc,multiqc-vlad,1.30.dev20250821143134,cpython-38,exit_1,AssertionError,"at c_try_except[2], expected 'c_except_handler' node; got 'except_handler38'",multiqc/plots/__pycache__/table_object.cpython-38.pyc
9fb18e630a65,multiqc-vlad-1.30.dev20250821143134-cpython-38-9fb18e630a65.pyc,multiqc-vlad,1.30.dev20250821143134,cpython-38,exit_1,AssertionError,"at c_try_except[2], expected 'c_except_handler' node; got 'except_handler38'",multiqc_vlad-1.30.dev20250821143134/multiqc/plots/__pycache__/table_object.cpython-38.pyc
565b7d1f5843,mwahpy-2.1.5-cpython-38-565b7d1f5843.pyc,mwahpy,2.1.5,cpython-38,exit_1,AssertionError,,mwahpy/__pycache__/plot.cpython-38.pyc
4f2005c96430,pobm-1.2.0-cpython-38-4f2005c96430.pyc,pobm,1.2.0,cpython-38,exit_1,AssertionError,comp_if_not_or,pobm-1.2.0/.eggs/PyScaffold-3.2.3-py3.8.egg/pyscaffold/contrib/__pycache__/ptr.cpython-38.pyc
b7046fccd8b8,uniqgift-custom-1.0.7-cpython-38-b7046fccd8b8.pyc,uniqgift-custom,1.0.7,cpython-38,exit_1,AssertionError,comp_if_not_or,django/db/models/__pycache__/options.cpython-38.pyc
bf10b49b1d73,uniqgift-custom-1.0.7-cpython-38-bf10b49b1d73.pyc,uniqgift-custom,1.0.7,cpython-38,exit_1,AssertionError,list_comp (2),django/forms/__pycache__/models.cpython-38.pyc
5adb3076035d,uniqgift-custom-1.0.7-cpython-38-5adb3076035d.pyc,uniqgift-custom,1.0.7,cpython-38,exit_1,AssertionError,list_comp (2),django/test/__pycache__/testcases.cpython-38.pyc
