metric,value
scan_csv_pyc_files_full,228578
scan_csv_pyc_files_selected_artifacts,228578
artifact_paths,7388
rq2_in_scope_pyc,204904
source_present,183363
source_less,21541
in_scope_tag:cpython-310,51487
in_scope_tag:cpython-311,38320
in_scope_tag:cpython-312,36637
in_scope_tag:cpython-38,31633
in_scope_tag:cpython-39,30321
in_scope_tag:cpython-313,13274
in_scope_tag:cpython-314,3232
magic:3439,51470
magic:3495,38205
magic:3531,36617
magic:3413,31607
magic:3425,30319
magic:3571,13274
magic:3627,3230
magic:42946,113
magic:8738,24
magic:3520,19
magic:60321,6
magic:unknown,4
magic:3606,2
magic:58017,2
magic:61345,2
magic:10147,1
magic:22463,1
magic:28783,1
magic:47009,1
magic:47010,1
magic:57505,1
magic:58273,1
magic:59349,1
magic:6051,1
magic:60577,1
