tool,status,reason_category,reason,artifact,package,version,artifact_type,pyc_path,python_tag,magic_number,source_present,overall_level,overall_label,artifact_path
decompyle3,exit_1,tool_exit,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",aimmocore-0.1.15-py3-none-any.whl,aimmocore,0.1.15,wheel,aimmocore/core/__pycache__/storages.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,data/artifacts/pypi/aimmocore/0.1.15/aimmocore-0.1.15-py3-none-any.whl
decompyle3,exit_1,tool_exit,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",aimmocore-0.1.15.tar.gz,aimmocore,0.1.15,tar,aimmocore-0.1.15/aimmocore/core/__pycache__/storages.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,data/artifacts/pypi/aimmocore/0.1.15/aimmocore-0.1.15.tar.gz
decompyle3,exit_1,tool_exit,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",aioinstagrapi-1.1.21-py3-none-any.whl,aioinstagrapi,1.1.21,wheel,aioinstagrapi/mixins/__pycache__/hashtag.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,data/artifacts/pypi/aioinstagrapi/1.1.21/aioinstagrapi-1.1.21-py3-none-any.whl
decompyle3,exit_1,tool_exit,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",aioinstagrapi-1.1.21.tar.gz,aioinstagrapi,1.1.21,tar,aioinstagrapi-1.1.21/aioinstagrapi/mixins/__pycache__/hashtag.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,data/artifacts/pypi/aioinstagrapi/1.1.21/aioinstagrapi-1.1.21.tar.gz
marshal,error,marshal_parse_failure,marshal_failed:,apoplast-3.0.7.tar.gz,apoplast,3.0.7,tar,apoplast-3.0.7/venues/stages/apoplast/clouds/supp_NIH/nature/form/serving_size/amount/__pycache__/__init__.cpython-311.pyc,cpython-311,42946,True,4,pylingual_decompilable,data/artifacts/pypi/apoplast/3.0.7/apoplast-3.0.7.tar.gz
decompyle3,exit_2,tool_exit,/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-311/lib/python3.11/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...,apoplast-3.0.7.tar.gz,apoplast,3.0.7,tar,apoplast-3.0.7/venues/stages/apoplast/clouds/supp_NIH/nature/form/serving_size/amount/__pycache__/__init__.cpython-311.pyc,cpython-311,42946,True,4,pylingual_decompilable,data/artifacts/pypi/apoplast/3.0.7/apoplast-3.0.7.tar.gz
marshal,error,marshal_parse_failure,marshal_failed:,apoplast-3.0.7.tar.gz,apoplast,3.0.7,tar,apoplast-3.0.7/venues/stages/apoplast/clouds/supp_NIH/nature/form/unit/__pycache__/__init__.cpython-311.pyc,cpython-311,42946,True,4,pylingual_decompilable,data/artifacts/pypi/apoplast/3.0.7/apoplast-3.0.7.tar.gz
decompyle3,exit_2,tool_exit,/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-311/lib/python3.11/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...,apoplast-3.0.7.tar.gz,apoplast,3.0.7,tar,apoplast-3.0.7/venues/stages/apoplast/clouds/supp_NIH/nature/form/unit/__pycache__/__init__.cpython-311.pyc,cpython-311,42946,True,4,pylingual_decompilable,data/artifacts/pypi/apoplast/3.0.7/apoplast-3.0.7.tar.gz
marshal,error,marshal_parse_failure,marshal_failed:,apoplast-3.0.7.tar.gz,apoplast,3.0.7,tar,apoplast-3.0.7/venues/stages/apoplast/mixes/insure/__pycache__/equalities.cpython-311.pyc,cpython-311,42946,True,4,pylingual_decompilable,data/artifacts/pypi/apoplast/3.0.7/apoplast-3.0.7.tar.gz
decompyle3,exit_2,tool_exit,/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-311/lib/python3.11/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...,apoplast-3.0.7.tar.gz,apoplast,3.0.7,tar,apoplast-3.0.7/venues/stages/apoplast/mixes/insure/__pycache__/equalities.cpython-311.pyc,cpython-311,42946,True,4,pylingual_decompilable,data/artifacts/pypi/apoplast/3.0.7/apoplast-3.0.7.tar.gz
