python_tag,tool,status,reason_category,failed_tool_results
cpython-310,decompyle3,exit_2,tool_exit,82
cpython-310,dis,error,disassembly_failure,42
cpython-310,marshal,error,marshal_parse_failure,82
cpython-311,decompyle3,exit_2,tool_exit,171
cpython-311,marshal,error,marshal_parse_failure,171
cpython-312,decompyle3,exit_2,tool_exit,5
cpython-312,dis,error,disassembly_failure,1
cpython-312,marshal,error,marshal_parse_failure,5
cpython-314,dis,error,disassembly_failure,2
cpython-38,decompyle3,exit_1,tool_exit,22
cpython-38,decompyle3,exit_2,tool_exit,252
cpython-38,decompyle3,timeout,timeout,42
cpython-38,marshal,error,marshal_parse_failure,41
cpython-38,pylingual,timeout,timeout,2
cpython-39,decompyle3,exit_2,tool_exit,100
cpython-39,marshal,error,marshal_parse_failure,54
cpython-39,pylingual,timeout,timeout,1
