sample_sets,roundtrip_primary,roundtrip_secondary,artifact,artifact_type,pyc_path,python_tag,magic_number,source_present,overall_level,overall_label,pylingual,pylingual_level,decompyle3,decompyle3_level
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/lifedata/0.1.1/lifedata-0.1.1.tar.gz,tar,lifedata-0.1.1/lifedata/cli/__pycache__/start.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/nimba/0.0.14/nimba-0.0.14.tar.gz,tar,nimba-0.0.14/examples/env/lib64/python3.8/site-packages/tests/__pycache__/test_router.cpython-38-pytest-6.2.4.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/transformerslocal/0.0.4/transformerslocal-0.0.4.tar.gz,tar,transformerslocal-0.0.4/transformerslocal/src/transformers/models/bertweet/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/apache-superset-11680-1000/1.3.1/apache-superset-11680-1000-1.3.1.tar.gz,tar,apache-superset-11680-1000-1.3.1/superset/migrations/versions/__pycache__/960c69cb1f5b_.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/lfedu/0.0.1/lfedu-0.0.1.tar.gz,tar,lfedu-0.0.1/.venv/lib/python3.8/site-packages/pygments/lexers/__pycache__/forth.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/amplitude-experiment/1.11.1/amplitude_experiment-1.11.1-py3-none-any.whl,wheel,amplitude_experiment/cohort/__pycache__/cohort_loader.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/lfedu/0.0.1/lfedu-0.0.1.tar.gz,tar,lfedu-0.0.1/.venv/lib/python3.8/site-packages/pip/_vendor/rich/__pycache__/terminal_theme.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/bestfit/0.3/bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_bundle/__pycache__/pydev_log.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/artistml-sdk/0.2.1.dev9751808/artistml-sdk-0.2.1.dev9751808.tar.gz,tar,artistml-sdk-0.2.1.dev9751808/artistml_sdk/gateway/_core/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/simplemma/1.1.2/simplemma-1.1.2.tar.gz,tar,simplemma-1.1.2/tests/strategies/defaultrules/__pycache__/test_en.cpython-38-pytest-7.3.1.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/tracardi/0.6.26/tracardi-0.6.26-py3-none-any.whl,wheel,tracardi/process_engine/action/v1/connectors/mongo/query/model/__pycache__/configuration.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/primesw/0.5.0/primesw-0.5.0.tar.gz,tar,primesw-0.5.0/primesw/__pycache__/sw.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/django-connectwise/1.20.0/django_connectwise-1.20.0-py3-none-any.whl,wheel,djconnectwise/migrations/__pycache__/0104_auto_20190722_1232.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/pyspare/0.0.12/pyspare-0.0.12.tar.gz,tar,pyspare-0.0.12/pyspare/deco/deco_crostab/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/bestfit/0.3/bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/mpl_toolkits/mplot3d/__pycache__/axis3d.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/lifedata/0.1.1/lifedata-0.1.1.tar.gz,tar,lifedata-0.1.1/lifedata/webapi/__pycache__/label_metadata.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
