metric,value
main_l4_stratified:total,2002
main_l4_stratified:cpython-310,503
main_l4_stratified:cpython-311,374
main_l4_stratified:cpython-312,358
main_l4_stratified:cpython-313,130
main_l4_stratified:cpython-314,32
main_l4_stratified:cpython-38,309
main_l4_stratified:cpython-39,296
all_l3:total,3
all_l3:cpython-38,2
all_l3:cpython-39,1
source_less_l4_slice:total,200
source_less_l4_slice:cpython-310,40
source_less_l4_slice:cpython-311,41
source_less_l4_slice:cpython-312,15
source_less_l4_slice:cpython-313,12
source_less_l4_slice:cpython-314,3
source_less_l4_slice:cpython-38,69
source_less_l4_slice:cpython-39,20
combined_unique_rows,2203
source_less_l4_population,21541
source_less_l4_population:cpython-310,4360
source_less_l4_population:cpython-311,4441
source_less_l4_population:cpython-312,1591
source_less_l4_population:cpython-313,1264
source_less_l4_population:cpython-314,282
source_less_l4_population:cpython-38,7447
source_less_l4_population:cpython-39,2156
