failure_id,tool,python_tag,package,version,artifact,pyc_path,replay_status,load_offset,exception_type,exception_message,top_frame,stack_signature,traceback
cpython-39-marshal-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-tcrdist-,marshal,cpython-39,clustcrdist,0.1.5,clustcrdist-0.1.5-py2.py3-none-any.whl,clustcrdist/constants/modules/tcrdist/__pycache__/tcrdist_svg_basic.cpython-39.pyc,error,,EOFError,marshal data too short,<stdin>:load_code_candidates,<stdin>:load_code_candidates,"Traceback (most recent call last):\n  File ""<stdin>"", line 27, in load_code_candidates\nEOFError: marshal data too short\n"
cpython-39-marshal-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-tcrd,marshal,cpython-39,clustcrdist,0.1.5,clustcrdist-0.1.5.tar.gz,clustcrdist-0.1.5/clustcrdist/constants/modules/tcrdist/__pycache__/tcrdist_svg_basic.cpython-39.pyc,error,,EOFError,marshal data too short,<stdin>:load_code_candidates,<stdin>:load_code_candidates,"Traceback (most recent call last):\n  File ""<stdin>"", line 27, in load_code_candidates\nEOFError: marshal data too short\n"
cpython-314-dis-libmercury-0.85-py3-none-any.whl-libmercury-__pycache__-__init__.cpython-314.pyc,dis,cpython-314,libmercury,0.85,libmercury-0.85-py3-none-any.whl,libmercury/__pycache__/__init__.cpython-314.pyc,load_error,,ValueError,bad marshal data (unknown type code),<stdin>:load_code_candidates,<stdin>:load_code_candidates,"Traceback (most recent call last):\n  File ""<stdin>"", line 27, in load_code_candidates\nValueError: bad marshal data (unknown type code)\n"
cpython-314-dis-libmercury-0.85.tar.gz-libmercury-0.85-src-libmercury-__pycache__-__init__.cpyth,dis,cpython-314,libmercury,0.85,libmercury-0.85.tar.gz,libmercury-0.85/src/libmercury/__pycache__/__init__.cpython-314.pyc,load_error,,ValueError,bad marshal data (unknown type code),<stdin>:load_code_candidates,<stdin>:load_code_candidates,"Traceback (most recent call last):\n  File ""<stdin>"", line 27, in load_code_candidates\nValueError: bad marshal data (unknown type code)\n"
cpython-310-dis-rtx_deep-1.3.9-py310-none-any.whl-rtx_deep-__init__.pyc,dis,cpython-310,rtx-deep,1.3.9,rtx_deep-1.3.9-py310-none-any.whl,rtx_deep/__init__.pyc,error,16,IndexError,tuple index out of range,pythonlib/dis.py:_get_const_info,<stdin>:replay_stdlib <- pythonlib/dis.py:_get_instructions_bytes <- pythonlib/dis.py:_get_const_info,"Traceback (most recent call last):\n  File ""<stdin>"", line 54, in replay_stdlib\n  File ""/usr/lib/python3.10/dis.py"", line 338, in _get_instructions_bytes\n    argval, argrepr = _get_const_info(arg, constants)\n  File ""/usr/lib/python3.10/dis.py"", line 292, in _get_const_info\n    argval = const_list[const_index]\nIndexError: tuple index out of range\n"
cpython-310-dis-rtx_deep-1.3.9-py310-none-any.whl-rtx_deep-deploy_lib-__init__.pyc,dis,cpython-310,rtx-deep,1.3.9,rtx_deep-1.3.9-py310-none-any.whl,rtx_deep/deploy_lib/__init__.pyc,error,16,IndexError,tuple index out of range,pythonlib/dis.py:_get_const_info,<stdin>:replay_stdlib <- pythonlib/dis.py:_get_instructions_bytes <- pythonlib/dis.py:_get_const_info,"Traceback (most recent call last):\n  File ""<stdin>"", line 54, in replay_stdlib\n  File ""/usr/lib/python3.10/dis.py"", line 338, in _get_instructions_bytes\n    argval, argrepr = _get_const_info(arg, constants)\n  File ""/usr/lib/python3.10/dis.py"", line 292, in _get_const_info\n    argval = const_list[const_index]\nIndexError: tuple index out of range\n"
cpython-310-dis-rtx_deep-1.3.9-py310-none-any.whl-rtx_deep-deploy_lib-convert_trt.pyc,dis,cpython-310,rtx-deep,1.3.9,rtx_deep-1.3.9-py310-none-any.whl,rtx_deep/deploy_lib/convert_trt.pyc,error,16,IndexError,tuple index out of range,pythonlib/dis.py:_get_const_info,<stdin>:replay_stdlib <- pythonlib/dis.py:_get_instructions_bytes <- pythonlib/dis.py:_get_const_info,"Traceback (most recent call last):\n  File ""<stdin>"", line 54, in replay_stdlib\n  File ""/usr/lib/python3.10/dis.py"", line 338, in _get_instructions_bytes\n    argval, argrepr = _get_const_info(arg, constants)\n  File ""/usr/lib/python3.10/dis.py"", line 292, in _get_const_info\n    argval = const_list[const_index]\nIndexError: tuple index out of range\n"
cpython-310-dis-rtx_deep-1.3.9-py310-none-any.whl-rtx_deep-deploy_lib-converter_registry.pyc,dis,cpython-310,rtx-deep,1.3.9,rtx_deep-1.3.9-py310-none-any.whl,rtx_deep/deploy_lib/converter_registry.pyc,error,16,IndexError,tuple index out of range,pythonlib/dis.py:_get_const_info,<stdin>:replay_stdlib <- pythonlib/dis.py:_get_instructions_bytes <- pythonlib/dis.py:_get_const_info,"Traceback (most recent call last):\n  File ""<stdin>"", line 54, in replay_stdlib\n  File ""/usr/lib/python3.10/dis.py"", line 338, in _get_instructions_bytes\n    argval, argrepr = _get_const_info(arg, constants)\n  File ""/usr/lib/python3.10/dis.py"", line 292, in _get_const_info\n    argval = const_list[const_index]\nIndexError: tuple index out of range\n"
cpython-310-dis-rtx_deep-1.3.9-py310-none-any.whl-rtx_deep-deploy_lib-converter_utils.pyc,dis,cpython-310,rtx-deep,1.3.9,rtx_deep-1.3.9-py310-none-any.whl,rtx_deep/deploy_lib/converter_utils.pyc,error,16,IndexError,tuple index out of range,pythonlib/dis.py:_get_const_info,<stdin>:replay_stdlib <- pythonlib/dis.py:_get_instructions_bytes <- pythonlib/dis.py:_get_const_info,"Traceback (most recent call last):\n  File ""<stdin>"", line 54, in replay_stdlib\n  File ""/usr/lib/python3.10/dis.py"", line 338, in _get_instructions_bytes\n    argval, argrepr = _get_const_info(arg, constants)\n  File ""/usr/lib/python3.10/dis.py"", line 292, in _get_const_info\n    argval = const_list[const_index]\nIndexError: tuple index out of range\n"
cpython-310-dis-rtx_deep-1.3.9-py310-none-any.whl-rtx_deep-deploy_lib-converters-__init__.pyc,dis,cpython-310,rtx-deep,1.3.9,rtx_deep-1.3.9-py310-none-any.whl,rtx_deep/deploy_lib/converters/__init__.pyc,error,16,IndexError,tuple index out of range,pythonlib/dis.py:_get_const_info,<stdin>:replay_stdlib <- pythonlib/dis.py:_get_instructions_bytes <- pythonlib/dis.py:_get_const_info,"Traceback (most recent call last):\n  File ""<stdin>"", line 54, in replay_stdlib\n  File ""/usr/lib/python3.10/dis.py"", line 338, in _get_instructions_bytes\n    argval, argrepr = _get_const_info(arg, constants)\n  File ""/usr/lib/python3.10/dis.py"", line 292, in _get_const_info\n    argval = const_list[const_index]\nIndexError: tuple index out of range\n"
