bug_id,tool,python_tag,failure_type,specific_cause,stack_signature,failure_id,status,package,version,artifact,artifact_type,pyc_path,artifact_path,stdout_file,stderr_file
rq2-decompyle3-3bfbe0cf6989,decompyle3,cpython-38,AssertionError,comp_if_or_not invariant,,cpython-38-decompyle3-aimmocore-0.1.15-py3-none-any.whl-aimmocore-core-__pycache__-storages.cpyt,exit_1,aimmocore,0.1.15,aimmocore-0.1.15-py3-none-any.whl,wheel,aimmocore/core/__pycache__/storages.cpython-38.pyc,data/artifacts/pypi/aimmocore/0.1.15/aimmocore-0.1.15-py3-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aimmocore-0.1.15-py3-none-any.whl-aimmocore-core-__pycache__-storages.cpyt/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aimmocore-0.1.15-py3-none-any.whl-aimmocore-core-__pycache__-storages.cpyt/stderr.txt
rq2-decompyle3-3bfbe0cf6989,decompyle3,cpython-38,AssertionError,comp_if_or_not invariant,,cpython-38-decompyle3-aimmocore-0.1.15.tar.gz-aimmocore-0.1.15-aimmocore-core-__pycache__-storag,exit_1,aimmocore,0.1.15,aimmocore-0.1.15.tar.gz,tar,aimmocore-0.1.15/aimmocore/core/__pycache__/storages.cpython-38.pyc,data/artifacts/pypi/aimmocore/0.1.15/aimmocore-0.1.15.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aimmocore-0.1.15.tar.gz-aimmocore-0.1.15-aimmocore-core-__pycache__-storag/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aimmocore-0.1.15.tar.gz-aimmocore-0.1.15-aimmocore-core-__pycache__-storag/stderr.txt
rq2-decompyle3-6d10da60efcb,decompyle3,cpython-38,AssertionError,ifpoplaststmtc expected c_stmts,,cpython-38-decompyle3-aioinstagrapi-1.1.21-py3-none-any.whl-aioinstagrapi-mixins-__pycache__-has,exit_1,aioinstagrapi,1.1.21,aioinstagrapi-1.1.21-py3-none-any.whl,wheel,aioinstagrapi/mixins/__pycache__/hashtag.cpython-38.pyc,data/artifacts/pypi/aioinstagrapi/1.1.21/aioinstagrapi-1.1.21-py3-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aioinstagrapi-1.1.21-py3-none-any.whl-aioinstagrapi-mixins-__pycache__-has/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aioinstagrapi-1.1.21-py3-none-any.whl-aioinstagrapi-mixins-__pycache__-has/stderr.txt
rq2-decompyle3-6d10da60efcb,decompyle3,cpython-38,AssertionError,ifpoplaststmtc expected c_stmts,,cpython-38-decompyle3-aioinstagrapi-1.1.21.tar.gz-aioinstagrapi-1.1.21-aioinstagrapi-mixins-__py,exit_1,aioinstagrapi,1.1.21,aioinstagrapi-1.1.21.tar.gz,tar,aioinstagrapi-1.1.21/aioinstagrapi/mixins/__pycache__/hashtag.cpython-38.pyc,data/artifacts/pypi/aioinstagrapi/1.1.21/aioinstagrapi-1.1.21.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aioinstagrapi-1.1.21.tar.gz-aioinstagrapi-1.1.21-aioinstagrapi-mixins-__py/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aioinstagrapi-1.1.21.tar.gz-aioinstagrapi-1.1.21-aioinstagrapi-mixins-__py/stderr.txt
rq2-decompyle3-6009e4188f1c,decompyle3,cpython-38,Timeout,did not terminate within 600s,,cpython-38-decompyle3-astromorphlib-1.0.13.tar.gz-astromorphlib-1.0.13-stat_lib-__pycache__-__in,timeout,astromorphlib,1.0.13,astromorphlib-1.0.13.tar.gz,tar,astromorphlib-1.0.13/stat_lib/__pycache__/__init__.cpython-38.pyc,data/artifacts/pypi/astromorphlib/1.0.13/astromorphlib-1.0.13.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-astromorphlib-1.0.13.tar.gz-astromorphlib-1.0.13-stat_lib-__pycache__-__in/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-astromorphlib-1.0.13.tar.gz-astromorphlib-1.0.13-stat_lib-__pycache__-__in/stderr.txt
rq2-decompyle3-6009e4188f1c,decompyle3,cpython-38,Timeout,did not terminate within 600s,,cpython-38-decompyle3-astromorphlib-1.0.13-py3-none-any.whl-stat_lib-__pycache__-__init__.cpytho,timeout,astromorphlib,1.0.13,astromorphlib-1.0.13-py3-none-any.whl,wheel,stat_lib/__pycache__/__init__.cpython-38.pyc,data/artifacts/pypi/astromorphlib/1.0.13/astromorphlib-1.0.13-py3-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-astromorphlib-1.0.13-py3-none-any.whl-stat_lib-__pycache__-__init__.cpytho/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-astromorphlib-1.0.13-py3-none-any.whl-stat_lib-__pycache__-__init__.cpytho/stderr.txt
rq2-decompyle3-1c3080b6b90c,decompyle3,cpython-38,AssertionError,empty assertion message,,cpython-38-decompyle3-assignment-autograder-3.7.6.tar.gz-assignment-autograder-3.7.6-autograder-,exit_1,assignment-autograder,3.7.6,assignment-autograder-3.7.6.tar.gz,tar,assignment-autograder-3.7.6/autograder/testcase_utils/__pycache__/shell.cpython-38.pyc,data/artifacts/pypi/assignment-autograder/3.7.6/assignment-autograder-3.7.6.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-assignment-autograder-3.7.6.tar.gz-assignment-autograder-3.7.6-autograder-/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-assignment-autograder-3.7.6.tar.gz-assignment-autograder-3.7.6-autograder-/stderr.txt
rq2-decompyle3-1c3080b6b90c,decompyle3,cpython-38,AssertionError,empty assertion message,,cpython-38-decompyle3-autograder-3.7.7.tar.gz-autograder-3.7.7-autograder-testcase_utils-__pycac,exit_1,autograder,3.7.7,autograder-3.7.7.tar.gz,tar,autograder-3.7.7/autograder/testcase_utils/__pycache__/shell.cpython-38.pyc,data/artifacts/pypi/autograder/3.7.7/autograder-3.7.7.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-autograder-3.7.7.tar.gz-autograder-3.7.7-autograder-testcase_utils-__pycac/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-autograder-3.7.7.tar.gz-autograder-3.7.7-autograder-testcase_utils-__pycac/stderr.txt
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5-py2.py3-none-any.whl,wheel,clustcrdist/constants/modules/olga/__pycache__/__init__.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/stderr.txt
rq2-decompyle3-e17af279bca3,decompyle3,cpython-39,EOFError,uncaught marshal data too short,xdis.load:load_module_from_file_object,cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5-py2.py3-none-any.whl,wheel,clustcrdist/constants/modules/olga/__pycache__/generation_probability.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/stderr.txt
