metric,value
tool_robustness_failure_rows,423
unique_pyc_files,421
packages,56
artifacts,75
tool:decompyle3,373
tool:dis,45
tool:marshal,2
tool:pylingual,3
status:error,47
status:exit_1,22
status:exit_2,309
status:timeout,45
exception_type:EOFError,10
exception_type:IndexError,45
exception_type:SystemError,4
exception_type:Timeout,45
exception_type:Traceback,22
exception_type:ValueError,297
python_tag:cpython-310,42
python_tag:cpython-312,1
python_tag:cpython-314,2
python_tag:cpython-38,277
python_tag:cpython-39,101
source_present:False,73
source_present:True,350
overall_level:3,3
overall_level:4,420
