failure_id,tool,status,exception_type,exception_message,reason,package,version,artifact,artifact_type,pyc_path,python_tag,magic_number,source_present,overall_level,overall_label,artifact_path,command_file,stdout_file,stderr_file,metadata_file,trace_available
cpython-38-decompyle3-aimmocore-0.1.15-py3-none-any.whl-aimmocore-core-__pycache__-storages.cpyt,decompyle3,exit_1,Traceback,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...","Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",aimmocore,0.1.15,aimmocore-0.1.15-py3-none-any.whl,wheel,aimmocore/core/__pycache__/storages.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,data/artifacts/pypi/aimmocore/0.1.15/aimmocore-0.1.15-py3-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aimmocore-0.1.15-py3-none-any.whl-aimmocore-core-__pycache__-storages.cpyt/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aimmocore-0.1.15-py3-none-any.whl-aimmocore-core-__pycache__-storages.cpyt/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aimmocore-0.1.15-py3-none-any.whl-aimmocore-core-__pycache__-storages.cpyt/stderr.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aimmocore-0.1.15-py3-none-any.whl-aimmocore-core-__pycache__-storages.cpyt/metadata.txt,False
cpython-38-decompyle3-aimmocore-0.1.15.tar.gz-aimmocore-0.1.15-aimmocore-core-__pycache__-storag,decompyle3,exit_1,Traceback,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...","Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",aimmocore,0.1.15,aimmocore-0.1.15.tar.gz,tar,aimmocore-0.1.15/aimmocore/core/__pycache__/storages.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,data/artifacts/pypi/aimmocore/0.1.15/aimmocore-0.1.15.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aimmocore-0.1.15.tar.gz-aimmocore-0.1.15-aimmocore-core-__pycache__-storag/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aimmocore-0.1.15.tar.gz-aimmocore-0.1.15-aimmocore-core-__pycache__-storag/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aimmocore-0.1.15.tar.gz-aimmocore-0.1.15-aimmocore-core-__pycache__-storag/stderr.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aimmocore-0.1.15.tar.gz-aimmocore-0.1.15-aimmocore-core-__pycache__-storag/metadata.txt,False
cpython-38-decompyle3-aioinstagrapi-1.1.21-py3-none-any.whl-aioinstagrapi-mixins-__pycache__-has,decompyle3,exit_1,Traceback,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...","Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",aioinstagrapi,1.1.21,aioinstagrapi-1.1.21-py3-none-any.whl,wheel,aioinstagrapi/mixins/__pycache__/hashtag.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,data/artifacts/pypi/aioinstagrapi/1.1.21/aioinstagrapi-1.1.21-py3-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aioinstagrapi-1.1.21-py3-none-any.whl-aioinstagrapi-mixins-__pycache__-has/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aioinstagrapi-1.1.21-py3-none-any.whl-aioinstagrapi-mixins-__pycache__-has/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aioinstagrapi-1.1.21-py3-none-any.whl-aioinstagrapi-mixins-__pycache__-has/stderr.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aioinstagrapi-1.1.21-py3-none-any.whl-aioinstagrapi-mixins-__pycache__-has/metadata.txt,False
cpython-38-decompyle3-aioinstagrapi-1.1.21.tar.gz-aioinstagrapi-1.1.21-aioinstagrapi-mixins-__py,decompyle3,exit_1,Traceback,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...","Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",aioinstagrapi,1.1.21,aioinstagrapi-1.1.21.tar.gz,tar,aioinstagrapi-1.1.21/aioinstagrapi/mixins/__pycache__/hashtag.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,data/artifacts/pypi/aioinstagrapi/1.1.21/aioinstagrapi-1.1.21.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aioinstagrapi-1.1.21.tar.gz-aioinstagrapi-1.1.21-aioinstagrapi-mixins-__py/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aioinstagrapi-1.1.21.tar.gz-aioinstagrapi-1.1.21-aioinstagrapi-mixins-__py/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aioinstagrapi-1.1.21.tar.gz-aioinstagrapi-1.1.21-aioinstagrapi-mixins-__py/stderr.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aioinstagrapi-1.1.21.tar.gz-aioinstagrapi-1.1.21-aioinstagrapi-mixins-__py/metadata.txt,False
cpython-38-decompyle3-astromorphlib-1.0.13.tar.gz-astromorphlib-1.0.13-stat_lib-__pycache__-__in,decompyle3,timeout,Timeout,timeout_after_600s,timeout_after_600s,astromorphlib,1.0.13,astromorphlib-1.0.13.tar.gz,tar,astromorphlib-1.0.13/stat_lib/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,data/artifacts/pypi/astromorphlib/1.0.13/astromorphlib-1.0.13.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-astromorphlib-1.0.13.tar.gz-astromorphlib-1.0.13-stat_lib-__pycache__-__in/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-astromorphlib-1.0.13.tar.gz-astromorphlib-1.0.13-stat_lib-__pycache__-__in/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-astromorphlib-1.0.13.tar.gz-astromorphlib-1.0.13-stat_lib-__pycache__-__in/stderr.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-astromorphlib-1.0.13.tar.gz-astromorphlib-1.0.13-stat_lib-__pycache__-__in/metadata.txt,False
cpython-38-decompyle3-astromorphlib-1.0.13-py3-none-any.whl-stat_lib-__pycache__-__init__.cpytho,decompyle3,timeout,Timeout,timeout_after_600s,timeout_after_600s,astromorphlib,1.0.13,astromorphlib-1.0.13-py3-none-any.whl,wheel,stat_lib/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,data/artifacts/pypi/astromorphlib/1.0.13/astromorphlib-1.0.13-py3-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-astromorphlib-1.0.13-py3-none-any.whl-stat_lib-__pycache__-__init__.cpytho/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-astromorphlib-1.0.13-py3-none-any.whl-stat_lib-__pycache__-__init__.cpytho/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-astromorphlib-1.0.13-py3-none-any.whl-stat_lib-__pycache__-__init__.cpytho/stderr.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-astromorphlib-1.0.13-py3-none-any.whl-stat_lib-__pycache__-__init__.cpytho/metadata.txt,False
cpython-38-decompyle3-assignment-autograder-3.7.6.tar.gz-assignment-autograder-3.7.6-autograder-,decompyle3,exit_1,Traceback,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...","Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",assignment-autograder,3.7.6,assignment-autograder-3.7.6.tar.gz,tar,assignment-autograder-3.7.6/autograder/testcase_utils/__pycache__/shell.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,data/artifacts/pypi/assignment-autograder/3.7.6/assignment-autograder-3.7.6.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-assignment-autograder-3.7.6.tar.gz-assignment-autograder-3.7.6-autograder-/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-assignment-autograder-3.7.6.tar.gz-assignment-autograder-3.7.6-autograder-/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-assignment-autograder-3.7.6.tar.gz-assignment-autograder-3.7.6-autograder-/stderr.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-assignment-autograder-3.7.6.tar.gz-assignment-autograder-3.7.6-autograder-/metadata.txt,False
cpython-38-decompyle3-autograder-3.7.7.tar.gz-autograder-3.7.7-autograder-testcase_utils-__pycac,decompyle3,exit_1,Traceback,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...","Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",autograder,3.7.7,autograder-3.7.7.tar.gz,tar,autograder-3.7.7/autograder/testcase_utils/__pycache__/shell.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,data/artifacts/pypi/autograder/3.7.7/autograder-3.7.7.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-autograder-3.7.7.tar.gz-autograder-3.7.7-autograder-testcase_utils-__pycac/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-autograder-3.7.7.tar.gz-autograder-3.7.7-autograder-testcase_utils-__pycac/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-autograder-3.7.7.tar.gz-autograder-3.7.7-autograder-testcase_utils-__pycac/stderr.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-autograder-3.7.7.tar.gz-autograder-3.7.7-autograder-testcase_utils-__pycac/metadata.txt,False
cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-,decompyle3,exit_2,ValueError,bad marshal data (unkn...,"Traceback (most recent call last): File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-39/lib/python3.9/site-packages/xdis/load.py"", line 328, in load_module_from_file_object co = marshal.loads(bytecode) ValueError: bad marshal data (unkn...",clustcrdist,0.1.5,clustcrdist-0.1.5-py2.py3-none-any.whl,wheel,clustcrdist/constants/modules/olga/__pycache__/__init__.cpython-39.pyc,cpython-39,3425,True,4,pylingual_decompilable,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/stderr.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/metadata.txt,False
cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-,decompyle3,exit_2,EOFError,marshal data too short,"Traceback (most recent call last): File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-39/lib/python3.9/site-packages/xdis/load.py"", line 328, in load_module_from_file_object co = marshal.loads(bytecode) EOFError: marshal data too short",clustcrdist,0.1.5,clustcrdist-0.1.5-py2.py3-none-any.whl,wheel,clustcrdist/constants/modules/olga/__pycache__/generation_probability.cpython-39.pyc,cpython-39,3425,True,4,pylingual_decompilable,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/stderr.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/metadata.txt,False
