bug_id,tool,python_tag,failure_type,specific_cause,stack_signature,tool_result_count,unique_pyc_files,packages,artifacts,statuses,representative_package,representative_version,representative_artifact,representative_pyc_path,representative_artifact_path,representative_command_file,representative_stdout_file,representative_stderr_file,example_failure_ids,example_inputs
rq2-decompyle3-f4df89b05af4,decompyle3,cpython-38,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,211,211,15,20,exit_2,delphai-search-utils,0.2.1,delphai_search_utils-0.2.1.tar.gz,delphai_search_utils-0.2.1/delphai_search_utils/tests/__pycache__/test_utils.cpython-38-pytest-5.4.3.pyc,data/artifacts/pypi/delphai-search-utils/0.2.1/delphai_search_utils-0.2.1.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-delphai_search_utils-0.2.1.tar.gz-delphai_search_utils-0.2.1-delphai_searc/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-delphai_search_utils-0.2.1.tar.gz-delphai_search_utils-0.2.1-delphai_searc/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-delphai_search_utils-0.2.1.tar.gz-delphai_search_utils-0.2.1-delphai_searc/stderr.txt,cpython-38-decompyle3-delphai_search_utils-0.2.1.tar.gz-delphai_search_utils-0.2.1-delphai_searc;cpython-38-decompyle3-decompyle3-3.9.3.tar.gz-decompyle3-3.9.3-test-__pycache__-test_pyenvlib.cp;cpython-38-decompyle3-decompyle3-3.9.3.tar.gz-decompyle3-3.9.3-test-__pycache__-test_pythonlib.c;cpython-38-decompyle3-decompyle3-3.9.3.tar.gz-decompyle3-3.9.3-test-__pycache__-test_unpy37.cpyt;cpython-38-decompyle3-decompyle3-3.9.3.tar.gz-decompyle3-3.9.3-test-decompyle-__pycache__-test_e,delphai_search_utils-0.2.1.tar.gz::delphai_search_utils-0.2.1/delphai_search_utils/tests/__pycache__/test_utils.cpython-38-pytest-5.4.3.pyc;decompyle3-3.9.3.tar.gz::decompyle3-3.9.3/test/__pycache__/test_pyenvlib.cpython-38-PYTEST.pyc;decompyle3-3.9.3.tar.gz::decompyle3-3.9.3/test/__pycache__/test_pythonlib.cpython-38-PYTEST.pyc;decompyle3-3.9.3.tar.gz::decompyle3-3.9.3/test/__pycache__/test_unpy37.cpython-38-PYTEST.pyc;decompyle3-3.9.3.tar.gz::decompyle3-3.9.3/test/decompyle/__pycache__/test_empty.cpython-38-PYTEST.pyc
rq2-decompyle3-eb90200e3b11,decompyle3,cpython-39,ValueError,uncaught bad marshal data,xdis.load:load_module_from_file_object,86,86,6,8,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5-py2.py3-none-any.whl,clustcrdist/constants/modules/olga/__pycache__/__init__.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/stderr.txt,cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-;cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-;cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-;cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-;cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-tcrdi,clustcrdist-0.1.5-py2.py3-none-any.whl::clustcrdist/constants/modules/olga/__pycache__/__init__.cpython-39.pyc;clustcrdist-0.1.5-py2.py3-none-any.whl::clustcrdist/constants/modules/olga/__pycache__/load_model.cpython-39.pyc;clustcrdist-0.1.5-py2.py3-none-any.whl::clustcrdist/constants/modules/olga/__pycache__/sequence_generation.cpython-39.pyc;clustcrdist-0.1.5-py2.py3-none-any.whl::clustcrdist/constants/modules/olga/__pycache__/utils.cpython-39.pyc;clustcrdist-0.1.5-py2.py3-none-any.whl::clustcrdist/constants/modules/tcrdist/__pycache__/__init__.cpython-39.pyc
rq2-decompyle3-6009e4188f1c,decompyle3,cpython-38,Timeout,did not terminate within 600s,,42,42,20,24,timeout,astromorphlib,1.0.13,astromorphlib-1.0.13.tar.gz,astromorphlib-1.0.13/stat_lib/__pycache__/__init__.cpython-38.pyc,data/artifacts/pypi/astromorphlib/1.0.13/astromorphlib-1.0.13.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-astromorphlib-1.0.13.tar.gz-astromorphlib-1.0.13-stat_lib-__pycache__-__in/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-astromorphlib-1.0.13.tar.gz-astromorphlib-1.0.13-stat_lib-__pycache__-__in/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-astromorphlib-1.0.13.tar.gz-astromorphlib-1.0.13-stat_lib-__pycache__-__in/stderr.txt,cpython-38-decompyle3-astromorphlib-1.0.13.tar.gz-astromorphlib-1.0.13-stat_lib-__pycache__-__in;cpython-38-decompyle3-astromorphlib-1.0.13-py3-none-any.whl-stat_lib-__pycache__-__init__.cpytho;cpython-38-decompyle3-cbapi-patched-1.7.5.linux-x86_64.tar.gz-home-fsantos-opt-pyenv-versions-hu;cpython-38-decompyle3-dovado_rtl-0.10.12.tar.gz-dovado_rtl-0.10.12-dovado_rtl-parsers-utilities-;cpython-38-decompyle3-flask_admin_plus-1.6.22.tar.gz-flask_admin_plus-1.6.22-flask_admin-tests-m,astromorphlib-1.0.13.tar.gz::astromorphlib-1.0.13/stat_lib/__pycache__/__init__.cpython-38.pyc;astromorphlib-1.0.13-py3-none-any.whl::stat_lib/__pycache__/__init__.cpython-38.pyc;cbapi-patched-1.7.5.linux-x86_64.tar.gz::home/fsantos/opt/pyenv/versions/hunts/lib/python3.8/site-packages/cbapi/__pycache__/winerror.cpython-38.pyc;dovado_rtl-0.10.12.tar.gz::dovado_rtl-0.10.12/dovado_rtl/parsers/utilities/antlr/__pycache__/vhdlParser.cpython-38.pyc;flask_admin_plus-1.6.22.tar.gz::flask_admin_plus-1.6.22/flask_admin/tests/mongoengine/__pycache__/test_basic.cpython-38-pytest-7.1.2.pyc
rq2-dis-84ace3ac8c52,dis,cpython-310,IndexError,tuple index out of range,<stdin>:replay_stdlib <- pythonlib/dis.py:_get_instructions_bytes <- pythonlib/dis.py:_get_const_info,42,42,1,1,error,rtx-deep,1.3.9,rtx_deep-1.3.9-py310-none-any.whl,rtx_deep/__init__.pyc,data/artifacts/pypi/rtx-deep/1.3.9/rtx_deep-1.3.9-py310-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-310/cpython-310-dis-rtx_deep-1.3.9-py310-none-any.whl-rtx_deep-__init__.pyc/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-310/cpython-310-dis-rtx_deep-1.3.9-py310-none-any.whl-rtx_deep-__init__.pyc/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-310/cpython-310-dis-rtx_deep-1.3.9-py310-none-any.whl-rtx_deep-__init__.pyc/stderr.txt,cpython-310-dis-rtx_deep-1.3.9-py310-none-any.whl-rtx_deep-__init__.pyc;cpython-310-dis-rtx_deep-1.3.9-py310-none-any.whl-rtx_deep-deploy_lib-__init__.pyc;cpython-310-dis-rtx_deep-1.3.9-py310-none-any.whl-rtx_deep-deploy_lib-convert_trt.pyc;cpython-310-dis-rtx_deep-1.3.9-py310-none-any.whl-rtx_deep-deploy_lib-converter_registry.pyc;cpython-310-dis-rtx_deep-1.3.9-py310-none-any.whl-rtx_deep-deploy_lib-converter_utils.pyc,rtx_deep-1.3.9-py310-none-any.whl::rtx_deep/__init__.pyc;rtx_deep-1.3.9-py310-none-any.whl::rtx_deep/deploy_lib/__init__.pyc;rtx_deep-1.3.9-py310-none-any.whl::rtx_deep/deploy_lib/convert_trt.pyc;rtx_deep-1.3.9-py310-none-any.whl::rtx_deep/deploy_lib/converter_registry.pyc;rtx_deep-1.3.9-py310-none-any.whl::rtx_deep/deploy_lib/converter_utils.pyc
rq2-decompyle3-e17af279bca3,decompyle3,cpython-39,EOFError,uncaught marshal data too short,xdis.load:load_module_from_file_object,10,10,2,4,exit_2,clustcrdist,0.1.5,clustcrdist-0.1.5-py2.py3-none-any.whl,clustcrdist/constants/modules/olga/__pycache__/generation_probability.cpython-39.pyc,data/artifacts/pypi/clustcrdist/0.1.5/clustcrdist-0.1.5-py2.py3-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-39/cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-/stderr.txt,cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-;cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-olga-;cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-tcrdi;cpython-39-decompyle3-clustcrdist-0.1.5-py2.py3-none-any.whl-clustcrdist-constants-modules-tcrdi;cpython-39-decompyle3-clustcrdist-0.1.5.tar.gz-clustcrdist-0.1.5-clustcrdist-constants-modules-o,clustcrdist-0.1.5-py2.py3-none-any.whl::clustcrdist/constants/modules/olga/__pycache__/generation_probability.cpython-39.pyc;clustcrdist-0.1.5-py2.py3-none-any.whl::clustcrdist/constants/modules/olga/__pycache__/preprocess_generative_model_and_data.cpython-39.pyc;clustcrdist-0.1.5-py2.py3-none-any.whl::clustcrdist/constants/modules/tcrdist/__pycache__/tcr_distances_blosum.cpython-39.pyc;clustcrdist-0.1.5-py2.py3-none-any.whl::clustcrdist/constants/modules/tcrdist/__pycache__/util.cpython-39.pyc;clustcrdist-0.1.5.tar.gz::clustcrdist-0.1.5/clustcrdist/constants/modules/olga/__pycache__/generation_probability.cpython-39.pyc
rq2-decompyle3-1c3080b6b90c,decompyle3,cpython-38,AssertionError,empty assertion message,,5,5,5,5,exit_1,assignment-autograder,3.7.6,assignment-autograder-3.7.6.tar.gz,assignment-autograder-3.7.6/autograder/testcase_utils/__pycache__/shell.cpython-38.pyc,data/artifacts/pypi/assignment-autograder/3.7.6/assignment-autograder-3.7.6.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-assignment-autograder-3.7.6.tar.gz-assignment-autograder-3.7.6-autograder-/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-assignment-autograder-3.7.6.tar.gz-assignment-autograder-3.7.6-autograder-/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-assignment-autograder-3.7.6.tar.gz-assignment-autograder-3.7.6-autograder-/stderr.txt,cpython-38-decompyle3-assignment-autograder-3.7.6.tar.gz-assignment-autograder-3.7.6-autograder-;cpython-38-decompyle3-autograder-3.7.7.tar.gz-autograder-3.7.7-autograder-testcase_utils-__pycac;cpython-38-decompyle3-django_connectwise-1.20.0-py3-none-any.whl-djconnectwise-__pycache__-api.c;cpython-38-decompyle3-mwahpy-2.1.5-py3-none-any.whl-mwahpy-__pycache__-plot.cpython-38.pyc;cpython-38-decompyle3-bestFit-0.3.tar.gz-bestFit-0.3-venv-lib-python3.8-site-packages-matplotlib,assignment-autograder-3.7.6.tar.gz::assignment-autograder-3.7.6/autograder/testcase_utils/__pycache__/shell.cpython-38.pyc;autograder-3.7.7.tar.gz::autograder-3.7.7/autograder/testcase_utils/__pycache__/shell.cpython-38.pyc;django_connectwise-1.20.0-py3-none-any.whl::djconnectwise/__pycache__/api.cpython-38.pyc;mwahpy-2.1.5-py3-none-any.whl::mwahpy/__pycache__/plot.cpython-38.pyc;bestFit-0.3.tar.gz::bestFit-0.3/venv/lib/python3.8/site-packages/matplotlib/axes/__pycache__/_base.cpython-38.pyc
rq2-decompyle3-c8252badafc6,decompyle3,cpython-38,AssertionError,comp_if_not_or invariant,,4,4,3,4,exit_1,jembe,0.3.15,jembe-0.3.15-py3-none-any.whl,jembe/__pycache__/processor.cpython-38.pyc,data/artifacts/pypi/jembe/0.3.15/jembe-0.3.15-py3-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-jembe-0.3.15-py3-none-any.whl-jembe-__pycache__-processor.cpython-38.pyc/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-jembe-0.3.15-py3-none-any.whl-jembe-__pycache__-processor.cpython-38.pyc/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-jembe-0.3.15-py3-none-any.whl-jembe-__pycache__-processor.cpython-38.pyc/stderr.txt,cpython-38-decompyle3-jembe-0.3.15-py3-none-any.whl-jembe-__pycache__-processor.cpython-38.pyc;cpython-38-decompyle3-jembe-0.3.15.tar.gz-jembe-0.3.15-jembe-__pycache__-processor.cpython-38.py;cpython-38-decompyle3-pobm-1.2.0.tar.gz-pobm-1.2.0-.eggs-PyScaffold-3.2.3-py3.8.egg-pyscaffold-c;cpython-38-decompyle3-uniqgift_custom-1.0.7-py3-none-any.whl-django-db-models-__pycache__-option,jembe-0.3.15-py3-none-any.whl::jembe/__pycache__/processor.cpython-38.pyc;jembe-0.3.15.tar.gz::jembe-0.3.15/jembe/__pycache__/processor.cpython-38.pyc;pobm-1.2.0.tar.gz::pobm-1.2.0/.eggs/PyScaffold-3.2.3-py3.8.egg/pyscaffold/contrib/__pycache__/ptr.cpython-38.pyc;uniqgift_custom-1.0.7-py3-none-any.whl::django/db/models/__pycache__/options.cpython-38.pyc
rq2-decompyle3-6d10da60efcb,decompyle3,cpython-38,AssertionError,ifpoplaststmtc expected c_stmts,,4,4,2,4,exit_1,aioinstagrapi,1.1.21,aioinstagrapi-1.1.21-py3-none-any.whl,aioinstagrapi/mixins/__pycache__/hashtag.cpython-38.pyc,data/artifacts/pypi/aioinstagrapi/1.1.21/aioinstagrapi-1.1.21-py3-none-any.whl,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aioinstagrapi-1.1.21-py3-none-any.whl-aioinstagrapi-mixins-__pycache__-has/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aioinstagrapi-1.1.21-py3-none-any.whl-aioinstagrapi-mixins-__pycache__-has/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-aioinstagrapi-1.1.21-py3-none-any.whl-aioinstagrapi-mixins-__pycache__-has/stderr.txt,cpython-38-decompyle3-aioinstagrapi-1.1.21-py3-none-any.whl-aioinstagrapi-mixins-__pycache__-has;cpython-38-decompyle3-aioinstagrapi-1.1.21.tar.gz-aioinstagrapi-1.1.21-aioinstagrapi-mixins-__py;cpython-38-decompyle3-mqc-2.0.2-py3-none-any.whl-mqc-control-__pycache__-atp_control.cpython-38.;cpython-38-decompyle3-mqc-2.0.2.tar.gz-mqc-2.0.2-mqc-control-__pycache__-atp_control.cpython-38.,aioinstagrapi-1.1.21-py3-none-any.whl::aioinstagrapi/mixins/__pycache__/hashtag.cpython-38.pyc;aioinstagrapi-1.1.21.tar.gz::aioinstagrapi-1.1.21/aioinstagrapi/mixins/__pycache__/hashtag.cpython-38.pyc;mqc-2.0.2-py3-none-any.whl::mqc/control/__pycache__/atp_control.cpython-38.pyc;mqc-2.0.2.tar.gz::mqc-2.0.2/mqc/control/__pycache__/atp_control.cpython-38.pyc
rq2-decompyle3-49b7bb1162cc,decompyle3,cpython-38,AssertionError,list_comp invariant,,3,3,2,2,exit_1,bestfit,0.3,bestFit-0.3.tar.gz,bestFit-0.3/venv/lib/python3.8/site-packages/babel/messages/__pycache__/mofile.cpython-38.pyc,data/artifacts/pypi/bestfit/0.3/bestFit-0.3.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-bestFit-0.3.tar.gz-bestFit-0.3-venv-lib-python3.8-site-packages-babel-mess/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-bestFit-0.3.tar.gz-bestFit-0.3-venv-lib-python3.8-site-packages-babel-mess/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-bestFit-0.3.tar.gz-bestFit-0.3-venv-lib-python3.8-site-packages-babel-mess/stderr.txt,cpython-38-decompyle3-bestFit-0.3.tar.gz-bestFit-0.3-venv-lib-python3.8-site-packages-babel-mess;cpython-38-decompyle3-uniqgift_custom-1.0.7-py3-none-any.whl-django-forms-__pycache__-models.cpy;cpython-38-decompyle3-uniqgift_custom-1.0.7-py3-none-any.whl-django-test-__pycache__-testcases.c,bestFit-0.3.tar.gz::bestFit-0.3/venv/lib/python3.8/site-packages/babel/messages/__pycache__/mofile.cpython-38.pyc;uniqgift_custom-1.0.7-py3-none-any.whl::django/forms/__pycache__/models.cpython-38.pyc;uniqgift_custom-1.0.7-py3-none-any.whl::django/test/__pycache__/testcases.cpython-38.pyc
rq2-decompyle3-1328af067a6e,decompyle3,cpython-38,AssertionError,c_try_except handler invariant,,2,2,1,2,exit_1,multiqc-vlad,1.30.dev20250821143134,multiqc_vlad-1.30.dev20250821143134.tar.gz,multiqc_vlad-1.30.dev20250821143134/multiqc/plots/__pycache__/table_object.cpython-38.pyc,data/artifacts/pypi/multiqc-vlad/1.30.dev20250821143134/multiqc_vlad-1.30.dev20250821143134.tar.gz,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-multiqc_vlad-1.30.dev20250821143134.tar.gz-multiqc_vlad-1.30.dev2025082114/command.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-multiqc_vlad-1.30.dev20250821143134.tar.gz-multiqc_vlad-1.30.dev2025082114/stdout.txt,PycLens/data/rq2/tool_robustness_failures/cpython-38/cpython-38-decompyle3-multiqc_vlad-1.30.dev20250821143134.tar.gz-multiqc_vlad-1.30.dev2025082114/stderr.txt,cpython-38-decompyle3-multiqc_vlad-1.30.dev20250821143134.tar.gz-multiqc_vlad-1.30.dev2025082114;cpython-38-decompyle3-multiqc_vlad-1.30.dev20250821143134-py3-none-any.whl-multiqc-plots-__pycac,multiqc_vlad-1.30.dev20250821143134.tar.gz::multiqc_vlad-1.30.dev20250821143134/multiqc/plots/__pycache__/table_object.cpython-38.pyc;multiqc_vlad-1.30.dev20250821143134-py3-none-any.whl::multiqc/plots/__pycache__/table_object.cpython-38.pyc
