artifact,package,version,artifact_type,source_less_pyc,total_pyc_in_artifact,source_less_pyc_pct_in_artifact,python_tags,top_level_paths,source_recoverable_pyc,source_recoverable_pct,dynamic_loading_indicator,dynamic_load_hits,keyword_categories,security_keyword_indicator
bestFit-0.3.tar.gz,bestfit,0.3,tar,4298,4356,98.67,cpython-38;cpython-39,bestFit-0.3,4298,100.00,True,5,build;cli;data;ml;network;plugin;security;testing,yes
lfedu-0.0.1.tar.gz,lfedu,0.0.1,tar,1416,1418,99.86,cpython-38,lfedu-0.0.1,1416,100.00,True,1,build;cli;data;ml;network;plugin;security;testing,yes
tdw-1.13.0.0.tar.gz,tdw,1.13.0.0,tar,561,891,62.96,cpython-311,tdw-1.13.0.0,561,100.00,False,0,cli;data;ml;network,no
AsyncChatPractice-0.1.3-py2.py3-none-any.whl,asyncchatpractice,0.1.3,wheel,537,537,100.00,cpython-311,Program Files,537,100.00,True,6,data;network;security;testing,yes
optimeed-2.5.3-py3-none-any.whl,optimeed,2.5.3,wheel,521,868,60.02,cpython-310;cpython-39,optimeed,521,100.00,True,132,data;ml,no
optimeed-2.5.3.tar.gz,optimeed,2.5.3,tar,521,870,59.89,cpython-310;cpython-39,optimeed-2.5.3,521,100.00,True,132,data;ml,no
xdis-6.3.0.tar.gz,xdis,6.3.0,tar,458,458,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,xdis-6.3.0,458,100.00,True,42,build;testing,no
oracle_automlx-25.3.1-py310-none-any.whl,oracle-automlx,25.3.1,wheel,449,449,100.00,cpython-310,automlx,449,100.00,False,0,data;ml;security,yes
oracle_ml_insights-1.3.1-py38-none-any.whl,oracle-ml-insights,1.3.1,wheel,400,400,100.00,cpython-38,mlm_insights,400,100.00,False,0,cli;data;ml;network;plugin;security;testing,yes
pykage-0.2.tar.gz,pykage,0.2,tar,340,340,100.00,cpython-310,pykage-0.2,340,100.00,True,1,build;cli;data;network;security;testing,yes
uiflow2-0.0.5-cp311-cp311-linux_armv7l.whl,uiflow2,0.0.5,wheel,264,264,100.00,cpython-311,M5,264,100.00,False,0,cli;network;security;testing,yes
igrep_tme-0.1.79-cp312-none-any.whl,igrep-tme,0.1.79,wheel,260,279,93.19,cpython-312,igrep,260,100.00,True,2,build;cli;data;ml;network;plugin;security,yes
huangjb_sqlalchemy-2.0.41-cp313-cp313t-linux_armv7l.whl,huangjb-sqlalchemy,2.0.41,wheel,256,256,100.00,cpython-313,huangjb_sqlalchemy,256,100.00,True,1,build;data;network;plugin;testing,no
wecon_sqlalchemy-2.0.41-cp313-cp313t-linux_armv7l.whl,wecon-sqlalchemy,2.0.41,wheel,256,256,100.00,cpython-313,wecon_sqlalchemy,256,100.00,False,0,data;network;plugin;testing,no
leafmesh-2.2.46-cp310-none-any.whl,leafmesh,2.2.46,wheel,170,170,100.00,cpython-310,leafmesh,170,100.00,False,0,build;data;ml;network;security,yes
isage_sage_benchmark-0.1.0.6-py2.py3-none-any.whl,isage-sage-benchmark,0.1.0.6,wheel,163,206,79.13,cpython-310;cpython-311,experiments;config;latex;scripts,163,100.00,True,2,cli;data;network,no
isage_sage_benchmark-0.1.0.6.tar.gz,isage-sage-benchmark,0.1.0.6,tar,163,206,79.13,cpython-310;cpython-311,isage_sage_benchmark-0.1.0.6,163,100.00,True,2,cli;data;network,no
