tool,status,pyc_files,pct_source_less_pyc,top_non_ok_reason
stdlib_marshal,ok,21447,99.56,
stdlib_marshal,error,94,0.44,marshal_failed:
stdlib_dis,ok,21405,99.37,
stdlib_dis,not_run,94,0.44,
stdlib_dis,error,42,0.19,
decompyle3,ok,21416,99.42,
decompyle3,exit_2,111,0.52,/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-310/lib/python3.10/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...
decompyle3,timeout,10,0.05,/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-310/lib/python3.10/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...
decompyle3,exit_1,4,0.02,/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-310/lib/python3.10/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...
pylingual,ok,21541,100.00,
