package,version,artifacts,artifact_types,source_less_pyc,total_pyc_in_package_version,source_less_pyc_pct_in_package_version,python_tags,source_recoverable_pyc,source_recoverable_pct,artifacts_with_dynamic_loading_indicators,keyword_categories,security_keyword_indicator
bestfit,0.3,1,tar,4298,4356,98.67,cpython-38;cpython-39,4298,100.00,1,build;cli;data;ml;network;plugin;security;testing,yes
lfedu,0.0.1,1,tar,1416,1418,99.86,cpython-38,1416,100.00,1,build;cli;data;ml;network;plugin;security;testing,yes
optimeed,2.5.3,2,tar;wheel,1042,1738,59.95,cpython-310;cpython-39,1042,100.00,2,data;ml,no
tdw,1.13.0.0,1,tar,561,891,62.96,cpython-311,561,100.00,0,cli;data;ml;network,no
asyncchatpractice,0.1.3,1,wheel,537,537,100.00,cpython-311,537,100.00,1,data;network;security;testing,yes
xdis,6.3.0,1,tar,458,458,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,458,100.00,1,build;testing,no
oracle-automlx,25.3.1,1,wheel,449,449,100.00,cpython-310,449,100.00,0,data;ml;security,yes
oracle-ml-insights,1.3.1,1,wheel,400,400,100.00,cpython-38,400,100.00,0,cli;data;ml;network;plugin;security;testing,yes
pykage,0.2,1,tar,340,340,100.00,cpython-310,340,100.00,1,build;cli;data;network;security;testing,yes
isage-sage-benchmark,0.1.0.6,2,tar;wheel,326,412,79.13,cpython-310;cpython-311,326,100.00,2,cli;data;network,no
uiflow2,0.0.5,1,wheel,264,264,100.00,cpython-311,264,100.00,0,cli;network;security;testing,yes
igrep-tme,0.1.79,1,wheel,260,279,93.19,cpython-312,260,100.00,1,build;cli;data;ml;network;plugin;security,yes
huangjb-sqlalchemy,2.0.41,1,wheel,256,256,100.00,cpython-313,256,100.00,1,build;data;network;plugin;testing,no
wecon-sqlalchemy,2.0.41,1,wheel,256,256,100.00,cpython-313,256,100.00,0,data;network;plugin;testing,no
leafmesh,2.2.46,1,wheel,170,170,100.00,cpython-310,170,100.00,0,build;data;ml;network;security,yes
isagellm-core,0.5.4.26,2,tar;wheel,164,210,78.10,cpython-311,164,100.00,0,ml;network;plugin,no
reviewboardpowerpack,6.0,1,wheel,158,158,100.00,cpython-310,158,100.00,0,data;network;plugin;security,yes
sf-pipelines-test,0.3.0,1,tar,158,229,69.00,cpython-310;cpython-311,158,100.00,0,cli;data;testing,no
sf-pipelines-test2,0.1.0,1,tar,158,229,69.00,cpython-310;cpython-311,158,100.00,0,cli;data;testing,no
isagellm-backend,0.5.4.17,2,tar;wheel,148,182,81.32,cpython-311,148,100.00,0,data;ml,no
lybase,1.0.284,1,wheel,146,146,100.00,cpython-310,146,100.00,0,build;data;ml;network;security,yes
sevals,0.0.3,2,tar;wheel,126,206,61.17,cpython-39,126,100.00,2,data;testing,no
tinyshare,0.1028.0,2,tar;wheel,126,126,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,126,100.00,2,network;security,yes
minishare,0.1005.0,2,tar;wheel,112,112,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,112,100.00,2,security,yes
softwareai,0.5.73,2,tar;wheel,108,288,37.50,cpython-39,108,100.00,2,ml;network;testing,no
qtica,0.6.0,1,tar,102,259,39.38,cpython-310;cpython-312,102,100.00,1,network,no
multiqc-vlad,1.30.dev20250821143134,2,tar;wheel,100,2600,3.85,cpython-311;cpython-312;cpython-313;cpython-38;cpython-39,100,100.00,2,data;plugin;testing,no
isagellm-comm,0.5.4.15,2,tar;wheel,96,112,85.71,cpython-311,96,100.00,0,ml,no
shiyunzi,3.1.29,1,wheel,93,99,93.94,cpython-313,93,100.00,0,ml;network;security,yes
mossflow,0.1.132,1,wheel,91,124,73.39,cpython-312,91,100.00,0,ml,no
x-python,1.5.3,1,tar,89,89,100.00,cpython-310;cpython-38;cpython-39,89,100.00,1,testing,no
isagellm-kv-cache,0.5.4.15,2,tar;wheel,88,122,72.13,cpython-311,88,100.00,0,cli,no
ydata-fabric-sdk,1.1.5,1,wheel,87,87,100.00,cpython-310,87,100.00,0,data;ml;network,no
isage-tools,0.2.4.13,1,wheel,85,121,70.25,cpython-311,85,100.00,1,build;cli;data;ml;network;testing,no
barely,1.2.2,2,tar;wheel,84,222,37.84,cpython-311;cpython-39,84,100.00,2,cli;testing,no
isage-control-plane-benchmark,0.2.0.6,2,tar;wheel,80,104,76.92,cpython-311,80,100.00,0,cli;network,no
tipytool,1.0.3,2,tar;wheel,78,84,92.86,cpython-311,78,100.00,0,testing,no
staze,0.2.2,2,tar;wheel,74,178,41.57,cpython-310,74,100.00,2,cli;data;ml;network;testing,no
isagellm-control-plane,0.5.4.14,2,tar;wheel,72,86,83.72,cpython-311,72,100.00,0,network,no
decompyle3,3.9.3,1,tar,71,96,73.96,cpython-38,71,100.00,1,testing,no
pi4,0.5.0,1,wheel,71,71,100.00,cpython-39,71,100.00,0,data;ml;network,no
ttshare,0.1003.0,2,tar;wheel,70,70,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,70,100.00,2,security,yes
renren-shop,1.0.7,1,tar,66,66,100.00,cpython-310;cpython-39,66,100.00,0,data;network,no
renrenmall,0.1.0,1,tar,66,66,100.00,cpython-310;cpython-39,66,100.00,0,data;network,no
agentverse,0.1.8.1,2,tar;wheel,64,64,100.00,cpython-38;cpython-39,64,100.00,2,data,no
zuper-commons-z7,7.3.2507061617,1,wheel,62,62,100.00,cpython-312,62,100.00,0,data;testing,no
isagellm-benchmark,0.5.4.14,2,tar;wheel,60,78,76.92,cpython-311,60,100.00,0,cli;data;ml;network,no
isagellm-control-plane-benchmark,0.2.0.9,2,tar;wheel,60,74,81.08,cpython-311,60,100.00,0,cli;network,no
codespeak,0.1.7,1,tar,59,108,54.63,cpython-310,59,100.00,1,network,no
fucker-zju,1.8.6,2,tar;wheel,58,58,100.00,cpython-38,58,100.00,2,build;data;ml,no
