metric,value
findings,12404
unique_bugs,1009
unique_bug_pyc,1009
findings_cpython-310,897
findings_cpython-311,2461
findings_cpython-312,2276
findings_cpython-313,3342
findings_cpython-314,2088
findings_cpython-38,729
findings_cpython-39,611
unique_bugs_cpython-310,127
unique_bugs_cpython-311,144
unique_bugs_cpython-312,156
unique_bugs_cpython-313,198
unique_bugs_cpython-314,163
unique_bugs_cpython-38,112
unique_bugs_cpython-39,109
status_crash,12404
stack_source_gdb-rerun,12334
stack_source_honggfuzz-filename,70
