case_id,tool,python_tag,finding,original_status,original_reason,replay_returncode,replay_signal,replay_status,replay_reason,case_dir
001-decompyle3-cpython-312-cpython-312-2bcc6ad1f7bb,decompyle3,cpython-312,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-2bcc6ad1f7bb.pyc,exit_-11,/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-312/lib/python3.12/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...,-11,SIGSEGV,Process crash,SIGSEGV,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/001-decompyle3-cpython-312-cpython-312-2bcc6ad1f7bb
002-pylingual-cpython-312-cpython-312-2bcc6ad1f7bb,pylingual,cpython-312,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-2bcc6ad1f7bb.pyc,exit_-11,"────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────── ,ggggggggggg, ,gggg, dP""""""88""""""""""""Y8, d8"" ""8I ,dPYb, Yb, 88 `8b 88 ,dP...",-11,SIGSEGV,Process crash,SIGSEGV,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/002-pylingual-cpython-312-cpython-312-2bcc6ad1f7bb
003-decompyle3-cpython-312-cpython-312-58e8048ac5da,decompyle3,cpython-312,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-58e8048ac5da.pyc,exit_-11,/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-312/lib/python3.12/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...,-11,SIGSEGV,Process crash,SIGSEGV,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/003-decompyle3-cpython-312-cpython-312-58e8048ac5da
004-pylingual-cpython-312-cpython-312-58e8048ac5da,pylingual,cpython-312,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-58e8048ac5da.pyc,exit_-11,"────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────── ,ggggggggggg, ,gggg, dP""""""88""""""""""""Y8, d8"" ""8I ,dPYb, Yb, 88 `8b 88 ,dP...",-11,SIGSEGV,Process crash,SIGSEGV,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/004-pylingual-cpython-312-cpython-312-58e8048ac5da
005-decompyle3-cpython-312-cpython-312-901be4fc6696,decompyle3,cpython-312,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-901be4fc6696.pyc,exit_-11,/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-312/lib/python3.12/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...,-11,SIGSEGV,Process crash,SIGSEGV,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/005-decompyle3-cpython-312-cpython-312-901be4fc6696
006-pylingual-cpython-312-cpython-312-901be4fc6696,pylingual,cpython-312,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-901be4fc6696.pyc,exit_-11,"────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────── ,ggggggggggg, ,gggg, dP""""""88""""""""""""Y8, d8"" ""8I ,dPYb, Yb, 88 `8b 88 ,dP...",-11,SIGSEGV,Process crash,SIGSEGV,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/006-pylingual-cpython-312-cpython-312-901be4fc6696
007-decompyle3-cpython-312-cpython-312-a121b010b70b,decompyle3,cpython-312,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-a121b010b70b.pyc,exit_-11,/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-312/lib/python3.12/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...,-11,SIGSEGV,Process crash,SIGSEGV,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/007-decompyle3-cpython-312-cpython-312-a121b010b70b
008-pylingual-cpython-312-cpython-312-a121b010b70b,pylingual,cpython-312,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-a121b010b70b.pyc,exit_-11,"────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────── ,ggggggggggg, ,gggg, dP""""""88""""""""""""Y8, d8"" ""8I ,dPYb, Yb, 88 `8b 88 ,dP...",-11,SIGSEGV,Process crash,SIGSEGV,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/008-pylingual-cpython-312-cpython-312-a121b010b70b
009-pylingual-cpython-312-cpython-312-eb581a73e180,pylingual,cpython-312,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-eb581a73e180.pyc,exit_-6,malloc(): invalid size (unsorted),-6,SIGABRT,Process abort,SIGABRT,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/009-pylingual-cpython-312-cpython-312-eb581a73e180
010-decompyle3-cpython-313-cpython-313-089a998b290e,decompyle3,cpython-313,data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-089a998b290e.pyc,exit_-11,/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-313/lib/python3.13/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...,-11,SIGSEGV,Process crash,SIGSEGV,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/010-decompyle3-cpython-313-cpython-313-089a998b290e
011-decompyle3-cpython-313-cpython-313-437dc676a244,decompyle3,cpython-313,data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-437dc676a244.pyc,exit_-11,/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-313/lib/python3.13/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...,-11,SIGSEGV,Process crash,SIGSEGV,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/011-decompyle3-cpython-313-cpython-313-437dc676a244
012-decompyle3-cpython-313-cpython-313-67ca27a414de,decompyle3,cpython-313,data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-67ca27a414de.pyc,exit_-11,/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-313/lib/python3.13/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...,-11,SIGSEGV,Process crash,SIGSEGV,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/012-decompyle3-cpython-313-cpython-313-67ca27a414de
