metric,value
findings,1009
rows,1009
source_reproduced_findings,0
not_reproduced_by_selected_tools,1009
decompile_ok_rows,347
source_compile_ok_rows,347
tool_failure_rows,1009
tool_timeout_rows,1
tool_failure_class:expected_rejection,658
tool_failure_class:tool_robustness_failure,4
tool_failure_class:translation_failure,347
tool_failure_stage:decompile,662
tool_timeout_stage:decompile,1
tool_failure_stage:rerun,347
tool_timeout_stage:rerun,0
category:source_reproduced,0
category:unconfirmed,639
category:unavailable_interpreter,0
category:no_source,241
category:compile_failure,95
category:behavior_divergence,34
decompylepp_rows,1009
decompylepp_decompile_ok,347
decompylepp_reproduced,0
decompylepp_failure_rows,1009
decompylepp_timeout_rows,1
decompylepp_failure_class:expected_rejection,658
decompylepp_failure_class:tool_robustness_failure,4
decompylepp_failure_class:translation_failure,347
cpython-310_findings,127
cpython-310_reproduced,0
cpython-310_behavior_divergence,1
cpython-310_compile_failure,12
cpython-310_no_source,28
cpython-310_unconfirmed,86
cpython-311_findings,144
cpython-311_reproduced,0
cpython-311_behavior_divergence,5
cpython-311_compile_failure,20
cpython-311_no_source,35
cpython-311_unconfirmed,84
cpython-312_findings,156
cpython-312_reproduced,0
cpython-312_behavior_divergence,7
cpython-312_compile_failure,26
cpython-312_no_source,25
cpython-312_unconfirmed,98
cpython-313_findings,198
cpython-313_reproduced,0
cpython-313_behavior_divergence,5
cpython-313_compile_failure,26
cpython-313_no_source,45
cpython-313_unconfirmed,122
cpython-314_findings,163
cpython-314_reproduced,0
cpython-314_behavior_divergence,0
cpython-314_compile_failure,0
cpython-314_no_source,62
cpython-314_unconfirmed,101
cpython-38_findings,112
cpython-38_reproduced,0
cpython-38_behavior_divergence,9
cpython-38_compile_failure,8
cpython-38_no_source,26
cpython-38_unconfirmed,69
cpython-39_findings,109
cpython-39_reproduced,0
cpython-39_behavior_divergence,7
cpython-39_compile_failure,3
cpython-39_no_source,20
cpython-39_unconfirmed,79
