python_tag,finding,interpreter,bytecode_status,bytecode_reason,decompiler,decompile_status,decompile_reason,decompile_stdout,decompile_stderr,source_path,compiled_pyc,source_status,source_reason,reproduced
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-05a3ee1d3fc4.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompyle3,error,"# decompyle3 version 3.9.3 # Python bytecode version base 3.10 (3439) # Decompiled from: Python 3.10.12 (main, Mar 3 2026, 11:56:32) [GCC 11.4.0] # Embedded file name: data/rq3/cpython-3.10/unittest_seeds/raw/cpython_case_test_bytes_Byte...",,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-05a3ee1d3fc4.pyc,data/rq2/envs/cpython-310/bin/python,ok,,pylingual,error,"──────────────────────────────────────────────────────────────────────────────── ,ggggggggggg, ,gggg, dP""""""88""""""""""""Y8, d8"" ""8I ,dPYb, Yb, 88 `8b 88 ,dP IP'`Yb `"" 88 ,8P 8888888P"" gg I8 8I 88aaaad8P"" 88 """" I8 8' 88""""""""""gg gg 88 gg ,ggg,,g...",,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0405b92fdf77.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompyle3,error,"# decompyle3 version 3.9.3 # Python bytecode version base 3.10 (3439) # Decompiled from: Python 3.10.12 (main, Mar 3 2026, 11:56:32) [GCC 11.4.0] # Embedded file name: data/rq3/cpython-3.10/unittest_seeds/raw/cpython_case_test__xxsubinte...",,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0405b92fdf77.pyc,data/rq2/envs/cpython-310/bin/python,ok,,pylingual,error,"──────────────────────────────────────────────────────────────────────────────── ,ggggggggggg, ,gggg, dP""""""88""""""""""""Y8, d8"" ""8I ,dPYb, Yb, 88 `8b 88 ,dP IP'`Yb `"" 88 ,8P 8888888P"" gg I8 8I 88aaaad8P"" 88 """" I8 8' 88""""""""""gg gg 88 gg ,ggg,,g...",,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-051c62d941fa.pyc,data/rq2/envs/cpython-310/bin/python,crash,signal_11:,decompyle3,error,"# decompyle3 version 3.9.3 # Python bytecode version base 3.10 (3439) # Decompiled from: Python 3.10.12 (main, Mar 3 2026, 11:56:32) [GCC 11.4.0] # Embedded file name: data/rq3/cpython-3.10/unittest_seeds/ra/cpython_case_test_complex_Co...",,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-051c62d941fa.pyc,data/rq2/envs/cpython-310/bin/python,crash,signal_11:,pylingual,error,"──────────────────────────────────────────────────────────────────────────────── ,ggggggggggg, ,gggg, dP""""""88""""""""""""Y8, d8"" ""8I ,dPYb, Yb, 88 `8b 88 ,dP IP'`Yb `"" 88 ,8P 8888888P"" gg I8 8I 88aaaad8P"" 88 """" I8 8' 88""""""""""gg gg 88 gg ,ggg,,g...",,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-02173bb381ec.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompyle3,error,"# decompyle3 version 3.9.3 # Python bytecode version base 3.10 (3439) # Decompiled from: Python 3.10.12 (main, Mar 3 2026, 11:56:32) [GCC 11.4.0] # Embedded file name: data/rq3/cpython-3.10/unittest_seeds/raw/cpython_case_test_itertools_...",,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-02173bb381ec.pyc,data/rq2/envs/cpython-310/bin/python,ok,,pylingual,error,"──────────────────────────────────────────────────────────────────────────────── ,ggggggggggg, ,gggg, dP""""""88""""""""""""Y8, d8"" ""8I ,dPYb, Yb, 88 `8b 88 ,dP IP'`Yb `"" 88 ,8P 8888888P"" gg I8 8I 88aaaad8P"" 88 """" I8 8' 88""""""""""gg gg 88 gg ,ggg,,g...",,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0e264d4271f8.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompyle3,error,"# decompyle3 version 3.9.3 # Python bytecode version base 3.10 (3439) # Decompiled from: Python 3.10.12 (main, Mar 3 2026, 11:56:32) [GCC 11.4.0] # Embedded file name: data/rq3/cpython-3.10/unittest_seeds/raw/cpython_case_test_io_TextIOW...",,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0e264d4271f8.pyc,data/rq2/envs/cpython-310/bin/python,ok,,pylingual,error,"──────────────────────────────────────────────────────────────────────────────── ,ggggggggggg, ,gggg, dP""""""88""""""""""""Y8, d8"" ""8I ,dPYb, Yb, 88 `8b 88 ,dP IP'`Yb `"" 88 ,8P 8888888P"" gg I8 8I 88aaaad8P"" 88 """" I8 8' 88""""""""""gg gg 88 gg ,ggg,,g...",,,,,not_run,,False
