python_tag,finding,interpreter,bytecode_status,bytecode_reason,decompiler,decompile_status,decompile_reason,decompile_stdout,decompile_stderr,source_path,compiled_pyc,source_status,source_reason,reproduced
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0405b92fdf77.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0405b92fdf77.pyc: Invalid bytes in ASCII string,,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0e264d4271f8.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0e264d4271f8.pyc: std::bad_cast,,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-13550de95770.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-13550de95770.pyc: Invalid bytes in ASCII string,,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1410d9b640bc.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1410d9b640bc.pyc: vector::_M_range_check: __n (which is 97) >= this->size() (which is 9),,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0b78e6dac771.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,ok,,,,data/rq4/source_candidates/cpython-310/cpython-310-0b78e6dac771/decompylepp.py,,exit_1,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-0b78e6dac771/decompylepp.py"", line 8 None ^= None &= (lambda : pass) ^^^^ SyntaxError: 'None' is an illegal...",False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-02136a8dd74b.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,ok,,,,data/rq4/source_candidates/cpython-310/cpython-310-02136a8dd74b/decompylepp.py,,exit_1,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-02136a8dd74b/decompylepp.py"", line 18 None *= 1 ^^^^ SyntaxError: 'None' is an illegal expression for augme...",False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-02173bb381ec.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,ok,,,,data/rq4/source_candidates/cpython-310/cpython-310-02173bb381ec/decompylepp.py,,exit_1,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-02173bb381ec/decompylepp.py"", line 18 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-09ede1f2a7d5.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,ok,,,,data/rq4/source_candidates/cpython-310/cpython-310-09ede1f2a7d5/decompylepp.py,,exit_1,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-09ede1f2a7d5/decompylepp.py"", line 13 None <<= None ^^^^ SyntaxError: 'None' is an illegal expression for a...",False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-05a3ee1d3fc4.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,ok,,,,data/rq4/source_candidates/cpython-310/cpython-310-05a3ee1d3fc4/decompylepp.py,,exit_1,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-05a3ee1d3fc4/decompylepp.py"", line 20 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-185a3358628c.pyc,data/rq2/envs/cpython-310/bin/python,exit_1,"XXX lineno: -1, opcode: 150 Traceback (most recent call last): File ""/home/awen/git/PybcSEC/PycLens/data/rq4/harness.py"", line 26, in <module> exec(code, namespace, namespace) File ""data/rq3/cpython-3.10/unittest_seeds/raw/cpython_case_t...",decompylepp,exit_1,PycBuffer::getByte(): Unexpected end of stream,,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1c4537aeb581.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1c4537aeb581.pyc: Invalid bytes in ASCII string,,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-176fa4283320.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,ok,,,,data/rq4/source_candidates/cpython-310/cpython-310-176fa4283320/decompylepp.py,,exit_1,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-176fa4283320/decompylepp.py"", line 8 fundef = 'def f(%s, /):\\n pass\\n' % ', '.join((lambda .0: for i in .0:...",False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2091219e5194.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2091219e5194.pyc: vector::_M_range_check: __n (which is 123) >= this->size() (which is 3),,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-15636d60b9a3.pyc,data/rq2/envs/cpython-310/bin/python,exit_1,"Traceback (most recent call last): File ""/home/awen/git/PybcSEC/PycLens/data/rq4/harness.py"", line 26, in <module> exec(code, namespace, namespace) File ""data/rq3/cpython-3.10/unittest_seeds/raw/cpython_case_test_range_RangeTest_test_str...",decompylepp,ok,,,,data/rq4/source_candidates/cpython-310/cpython-310-15636d60b9a3/decompylepp.py,,exit_1,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-15636d60b9a3/decompylepp.py"", line 4 return None ^= None &= None & (lambda : self = __pybcsec_self__ = obje...",False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-232dbdb7643c.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-232dbdb7643c.pyc: vector::_M_range_check: __n (which is 115) >= this->size() (which is 1),,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1933bbc9617a.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,ok,,,,data/rq4/source_candidates/cpython-310/cpython-310-1933bbc9617a/decompylepp.py,,exit_1,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-1933bbc9617a/decompylepp.py"", line 38 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2640fce96d36.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2640fce96d36.pyc: std::bad_cast,,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-051c62d941fa.pyc,data/rq2/envs/cpython-310/bin/python,crash,signal_11:,decompylepp,exit_1,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-051c62d941fa.pyc: Invalid bytes in ASCII string,,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2aae60cef2a2.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2aae60cef2a2.pyc: Invalid bytes in ASCII string,,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2c604c45d5bb.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2c604c45d5bb.pyc: Invalid bytes in ASCII string,,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2cada3d4af6f.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2cada3d4af6f.pyc: vector::_M_range_check: __n (which is 254) >= this->size() (which is 4),,,,,not_run,,False
