python_tag,finding,category,reason,bytecode_status,bytecode_reason,reproduced_by,decompiler_statuses,source_statuses
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-02136a8dd74b.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-02136a8dd74b/decompylepp.py"", line 18 None *= 1 ^^^^ SyntaxError: 'None' is an illegal expression for augme..."
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-02173bb381ec.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-02173bb381ec/decompylepp.py"", line 18 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function"
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0405b92fdf77.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0405b92fdf77.pyc: Invalid bytes in ASCII string,decompylepp:not_run:
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-051c62d941fa.pyc,no_source,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-051c62d941fa.pyc: Invalid bytes in ASCII string,crash,signal_11:,,decompylepp:exit_1:Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-051c62d941fa.pyc: Invalid bytes in ASCII string,decompylepp:not_run:
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-05a3ee1d3fc4.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-05a3ee1d3fc4/decompylepp.py"", line 20 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function"
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-09ede1f2a7d5.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-09ede1f2a7d5/decompylepp.py"", line 13 None <<= None ^^^^ SyntaxError: 'None' is an illegal expression for a..."
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0b78e6dac771.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-0b78e6dac771/decompylepp.py"", line 8 None ^= None &= (lambda : pass) ^^^^ SyntaxError: 'None' is an illegal..."
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0e264d4271f8.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0e264d4271f8.pyc: std::bad_cast,decompylepp:not_run:
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-13550de95770.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-13550de95770.pyc: Invalid bytes in ASCII string,decompylepp:not_run:
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1410d9b640bc.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1410d9b640bc.pyc: vector::_M_range_check: __n (which is 97) >= this->size() (which is 9),decompylepp:not_run:
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-14fe555e26f3.pyc,no_source,Warning: block stack is not empty! Warning: Refusing to pop last block when there is more code to parse pos: 94 OP: 31 Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-14fe555e26f3.pyc: vector::_M_range_check: __n (whic...,crash,signal_11:,,decompylepp:exit_1:Warning: block stack is not empty! Warning: Refusing to pop last block when there is more code to parse pos: 94 OP: 31 Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-14fe555e26f3.pyc: vector::_M_range_check: __n (whic...,decompylepp:not_run:
