python_tag,finding,decompiler,stage,status,failure_class,reason,bytecode_status,decompile_stdout,decompile_stderr,source_path,compiled_pyc
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0405b92fdf77.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0405b92fdf77.pyc: Invalid bytes in ASCII string,ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0e264d4271f8.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0e264d4271f8.pyc: std::bad_cast,ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-13550de95770.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-13550de95770.pyc: Invalid bytes in ASCII string,ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1410d9b640bc.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1410d9b640bc.pyc: vector::_M_range_check: __n (which is 97) >= this->size() (which is 9),ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-0b78e6dac771.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-0b78e6dac771/decompylepp.py"", line 8 None ^= None &= (lambda : pass) ^^^^ SyntaxError: 'None' is an illegal...",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-0b78e6dac771/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-02136a8dd74b.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-02136a8dd74b/decompylepp.py"", line 18 None *= 1 ^^^^ SyntaxError: 'None' is an illegal expression for augme...",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-02136a8dd74b/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-02173bb381ec.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-02173bb381ec/decompylepp.py"", line 18 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-02173bb381ec/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-09ede1f2a7d5.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-09ede1f2a7d5/decompylepp.py"", line 13 None <<= None ^^^^ SyntaxError: 'None' is an illegal expression for a...",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-09ede1f2a7d5/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-05a3ee1d3fc4.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-05a3ee1d3fc4/decompylepp.py"", line 20 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-05a3ee1d3fc4/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-185a3358628c.pyc,decompylepp,decompile,exit_1,expected_rejection,PycBuffer::getByte(): Unexpected end of stream,exit_1,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1c4537aeb581.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1c4537aeb581.pyc: Invalid bytes in ASCII string,ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-176fa4283320.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-176fa4283320/decompylepp.py"", line 8 fundef = 'def f(%s, /):\\n pass\\n' % ', '.join((lambda .0: for i in .0:...",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-176fa4283320/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2091219e5194.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2091219e5194.pyc: vector::_M_range_check: __n (which is 123) >= this->size() (which is 3),ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-15636d60b9a3.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-15636d60b9a3/decompylepp.py"", line 4 return None ^= None &= None & (lambda : self = __pybcsec_self__ = obje...",exit_1,,,data/rq4/source_candidates/cpython-310/cpython-310-15636d60b9a3/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-232dbdb7643c.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-232dbdb7643c.pyc: vector::_M_range_check: __n (which is 115) >= this->size() (which is 1),ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1933bbc9617a.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-1933bbc9617a/decompylepp.py"", line 38 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-1933bbc9617a/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2640fce96d36.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2640fce96d36.pyc: std::bad_cast,ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-051c62d941fa.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-051c62d941fa.pyc: Invalid bytes in ASCII string,crash,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2aae60cef2a2.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2aae60cef2a2.pyc: Invalid bytes in ASCII string,ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2c604c45d5bb.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2c604c45d5bb.pyc: Invalid bytes in ASCII string,ok,,,,
