bug_id,tool,python_tag,failure_type,specific_cause,stack_signature,finding,decompiler,stage,status,reason,decompile_stdout,decompile_stderr
rq4-pylingual-e2f199efc530,pylingual,cpython-310,SIGILL,process crashed with signal 4,,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-987b9fe188ce.pyc,pylingual,decompile,exit_-4,"──────────────────────────────────────────────────────────────────────────────── ,ggggggggggg, ,gggg, dP""""""88""""""""""""Y8, d8"" ""8I ,dPYb, Yb, 88 `8b 88 ,dP IP'`Yb `"" 88 ,8P 8888888P"" gg I8 8I 88aaaad8P"" 88 """" I8 8' 88""""""""""gg gg 88 gg ,ggg,,g...",data/rq4/tool_traces/cpython-310/cpython-310-987b9fe188ce/pylingual.stdout.txt,data/rq4/tool_traces/cpython-310/cpython-310-987b9fe188ce/pylingual.stderr.txt
rq4-pylingual-ef6abb195900,pylingual,cpython-310,Timeout,did not terminate within 600s,,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-7c36e44e9194.pyc,pylingual,decompile,timeout,timeout_after_600s,data/rq4/tool_traces/cpython-310/cpython-310-7c36e44e9194/pylingual.stdout.txt,data/rq4/tool_traces/cpython-310/cpython-310-7c36e44e9194/pylingual.stderr.txt
rq4-pylingual-e2f199efc530,pylingual,cpython-310,SIGILL,process crashed with signal 4,,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-bfa4ec2fcc83.pyc,pylingual,decompile,exit_-4,"──────────────────────────────────────────────────────────────────────────────── ,ggggggggggg, ,gggg, dP""""""88""""""""""""Y8, d8"" ""8I ,dPYb, Yb, 88 `8b 88 ,dP IP'`Yb `"" 88 ,8P 8888888P"" gg I8 8I 88aaaad8P"" 88 """" I8 8' 88""""""""""gg gg 88 gg ,ggg,,g...",data/rq4/tool_traces/cpython-310/cpython-310-bfa4ec2fcc83/pylingual.stdout.txt,data/rq4/tool_traces/cpython-310/cpython-310-bfa4ec2fcc83/pylingual.stderr.txt
rq4-pylingual-e2f199efc530,pylingual,cpython-310,SIGILL,process crashed with signal 4,,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-ed6225ecbcc3.pyc,pylingual,decompile,exit_-4,"──────────────────────────────────────────────────────────────────────────────── ,ggggggggggg, ,gggg, dP""""""88""""""""""""Y8, d8"" ""8I ,dPYb, Yb, 88 `8b 88 ,dP IP'`Yb `"" 88 ,8P 8888888P"" gg I8 8I 88aaaad8P"" 88 """" I8 8' 88""""""""""gg gg 88 gg ,ggg,,g...",data/rq4/tool_traces/cpython-310/cpython-310-ed6225ecbcc3/pylingual.stdout.txt,data/rq4/tool_traces/cpython-310/cpython-310-ed6225ecbcc3/pylingual.stderr.txt
rq4-decompyle3-4f2ab4edd998,decompyle3,cpython-312,SIGSEGV,process crashed with signal 11,,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-2bcc6ad1f7bb.pyc,decompyle3,decompile,exit_-11,/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-312/lib/python3.12/site-packages/click/core.py:1307: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.mak...,data/rq4/tool_traces/cpython-312/cpython-312-2bcc6ad1f7bb/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-312/cpython-312-2bcc6ad1f7bb/decompyle3.stderr.txt
rq4-pylingual-78e556653975,pylingual,cpython-312,SIGSEGV,process crashed with signal 11,,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-2bcc6ad1f7bb.pyc,pylingual,decompile,exit_-11,"──────────────────────────────────────────────────────────────────────────────── ,ggggggggggg, ,gggg, dP""""""88""""""""""""Y8, d8"" ""8I ,dPYb, Yb, 88 `8b 88 ,dP IP'`Yb `"" 88 ,8P 8888888P"" gg I8 8I 88aaaad8P"" 88 """" I8 8' 88""""""""""gg gg 88 gg ,ggg,,g...",data/rq4/tool_traces/cpython-312/cpython-312-2bcc6ad1f7bb/pylingual.stdout.txt,data/rq4/tool_traces/cpython-312/cpython-312-2bcc6ad1f7bb/pylingual.stderr.txt
rq4-pylingual-4cfed44c0425,pylingual,cpython-312,SIGABRT,allocator/heap abort,,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-413e7385bec6.pyc,pylingual,decompile,exit_-6,free(): invalid pointer,data/rq4/tool_traces/cpython-312/cpython-312-413e7385bec6/pylingual.stdout.txt,data/rq4/tool_traces/cpython-312/cpython-312-413e7385bec6/pylingual.stderr.txt
rq4-decompyle3-4f2ab4edd998,decompyle3,cpython-312,SIGSEGV,process crashed with signal 11,,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-58e8048ac5da.pyc,decompyle3,decompile,exit_-11,/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-312/lib/python3.12/site-packages/click/core.py:1307: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.mak...,data/rq4/tool_traces/cpython-312/cpython-312-58e8048ac5da/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-312/cpython-312-58e8048ac5da/decompyle3.stderr.txt
rq4-pylingual-78e556653975,pylingual,cpython-312,SIGSEGV,process crashed with signal 11,,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-58e8048ac5da.pyc,pylingual,decompile,exit_-11,"──────────────────────────────────────────────────────────────────────────────── ,ggggggggggg, ,gggg, dP""""""88""""""""""""Y8, d8"" ""8I ,dPYb, Yb, 88 `8b 88 ,dP IP'`Yb `"" 88 ,8P 8888888P"" gg I8 8I 88aaaad8P"" 88 """" I8 8' 88""""""""""gg gg 88 gg ,ggg,,g...",data/rq4/tool_traces/cpython-312/cpython-312-58e8048ac5da/pylingual.stdout.txt,data/rq4/tool_traces/cpython-312/cpython-312-58e8048ac5da/pylingual.stderr.txt
rq4-pylingual-4cfed44c0425,pylingual,cpython-312,SIGABRT,allocator/heap abort,,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-6e3193687da1.pyc,pylingual,decompile,exit_-6,realloc(): invalid pointer,data/rq4/tool_traces/cpython-312/cpython-312-6e3193687da1/pylingual.stdout.txt,data/rq4/tool_traces/cpython-312/cpython-312-6e3193687da1/pylingual.stderr.txt
rq4-decompyle3-4f2ab4edd998,decompyle3,cpython-312,SIGSEGV,process crashed with signal 11,,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-901be4fc6696.pyc,decompyle3,decompile,exit_-11,/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-312/lib/python3.12/site-packages/click/core.py:1307: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.mak...,data/rq4/tool_traces/cpython-312/cpython-312-901be4fc6696/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-312/cpython-312-901be4fc6696/decompyle3.stderr.txt
rq4-pylingual-78e556653975,pylingual,cpython-312,SIGSEGV,process crashed with signal 11,,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-901be4fc6696.pyc,pylingual,decompile,exit_-11,"──────────────────────────────────────────────────────────────────────────────── ,ggggggggggg, ,gggg, dP""""""88""""""""""""Y8, d8"" ""8I ,dPYb, Yb, 88 `8b 88 ,dP IP'`Yb `"" 88 ,8P 8888888P"" gg I8 8I 88aaaad8P"" 88 """" I8 8' 88""""""""""gg gg 88 gg ,ggg,,g...",data/rq4/tool_traces/cpython-312/cpython-312-901be4fc6696/pylingual.stdout.txt,data/rq4/tool_traces/cpython-312/cpython-312-901be4fc6696/pylingual.stderr.txt
rq4-decompyle3-4f2ab4edd998,decompyle3,cpython-312,SIGSEGV,process crashed with signal 11,,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-a121b010b70b.pyc,decompyle3,decompile,exit_-11,/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-312/lib/python3.12/site-packages/click/core.py:1307: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.mak...,data/rq4/tool_traces/cpython-312/cpython-312-a121b010b70b/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-312/cpython-312-a121b010b70b/decompyle3.stderr.txt
rq4-pylingual-78e556653975,pylingual,cpython-312,SIGSEGV,process crashed with signal 11,,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-a121b010b70b.pyc,pylingual,decompile,exit_-11,"──────────────────────────────────────────────────────────────────────────────── ,ggggggggggg, ,gggg, dP""""""88""""""""""""Y8, d8"" ""8I ,dPYb, Yb, 88 `8b 88 ,dP IP'`Yb `"" 88 ,8P 8888888P"" gg I8 8I 88aaaad8P"" 88 """" I8 8' 88""""""""""gg gg 88 gg ,ggg,,g...",data/rq4/tool_traces/cpython-312/cpython-312-a121b010b70b/pylingual.stdout.txt,data/rq4/tool_traces/cpython-312/cpython-312-a121b010b70b/pylingual.stderr.txt
rq4-decompyle3-0ed71adf3dff,decompyle3,cpython-312,SIGABRT,allocator/heap abort,,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-eb581a73e180.pyc,decompyle3,decompile,exit_-6,/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-312/lib/python3.12/site-packages/click/core.py:1307: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.mak...,data/rq4/tool_traces/cpython-312/cpython-312-eb581a73e180/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-312/cpython-312-eb581a73e180/decompyle3.stderr.txt
rq4-pylingual-4cfed44c0425,pylingual,cpython-312,SIGABRT,allocator/heap abort,,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-eb581a73e180.pyc,pylingual,decompile,exit_-6,malloc(): invalid size (unsorted),data/rq4/tool_traces/cpython-312/cpython-312-eb581a73e180/pylingual.stdout.txt,data/rq4/tool_traces/cpython-312/cpython-312-eb581a73e180/pylingual.stderr.txt
rq4-decompyle3-205cb50c5c0c,decompyle3,cpython-313,SIGSEGV,process crashed with signal 11,,data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-089a998b290e.pyc,decompyle3,decompile,exit_-11,/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-313/lib/python3.13/site-packages/click/core.py:1307: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.mak...,data/rq4/tool_traces/cpython-313/cpython-313-089a998b290e/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-313/cpython-313-089a998b290e/decompyle3.stderr.txt
rq4-decompyle3-205cb50c5c0c,decompyle3,cpython-313,SIGSEGV,process crashed with signal 11,,data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-437dc676a244.pyc,decompyle3,decompile,exit_-11,/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-313/lib/python3.13/site-packages/click/core.py:1307: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.mak...,data/rq4/tool_traces/cpython-313/cpython-313-437dc676a244/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-313/cpython-313-437dc676a244/decompyle3.stderr.txt
rq4-decompyle3-205cb50c5c0c,decompyle3,cpython-313,SIGSEGV,process crashed with signal 11,,data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-67ca27a414de.pyc,decompyle3,decompile,exit_-11,/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-313/lib/python3.13/site-packages/click/core.py:1307: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.mak...,data/rq4/tool_traces/cpython-313/cpython-313-67ca27a414de/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-313/cpython-313-67ca27a414de/decompyle3.stderr.txt
rq4-decompyle3-205cb50c5c0c,decompyle3,cpython-313,SIGSEGV,process crashed with signal 11,,data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-7c3c7040a8a0.pyc,decompyle3,decompile,exit_-11,/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-313/lib/python3.13/site-packages/click/core.py:1307: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.mak...,data/rq4/tool_traces/cpython-313/cpython-313-7c3c7040a8a0/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-313/cpython-313-7c3c7040a8a0/decompyle3.stderr.txt
rq4-decompyle3-205cb50c5c0c,decompyle3,cpython-313,SIGSEGV,process crashed with signal 11,,data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-8ac23cabb596.pyc,decompyle3,decompile,exit_-11,/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-313/lib/python3.13/site-packages/click/core.py:1307: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.mak...,data/rq4/tool_traces/cpython-313/cpython-313-8ac23cabb596/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-313/cpython-313-8ac23cabb596/decompyle3.stderr.txt
rq4-decompyle3-205cb50c5c0c,decompyle3,cpython-313,SIGSEGV,process crashed with signal 11,,data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-e1160566c937.pyc,decompyle3,decompile,exit_-11,/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-313/lib/python3.13/site-packages/click/core.py:1307: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.mak...,data/rq4/tool_traces/cpython-313/cpython-313-e1160566c937/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-313/cpython-313-e1160566c937/decompyle3.stderr.txt
rq4-decompyle3-34887820cf0f,decompyle3,cpython-38,IndexError,constant index out of range,site-packages/decompyle3/scanners/scanner37.py:ingest <- site-packages/decompyle3/scanners/scanner37base.py:ingest <- site-packages/decompyle3/scanner.py:build_instructions <- site-packages/xdis/bytecode.py:get_instructions_bytes <- site-packages/xdis/bytecode.py:get_logical_instruction_at_offset <- site-packages/xdis/bytecode.py:get_const_info,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-1023437964e6.pyc,decompyle3,decompile,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 11...",data/rq4/tool_traces/cpython-38/cpython-38-1023437964e6/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-1023437964e6/decompyle3.stderr.txt
rq4-decompyle3-34887820cf0f,decompyle3,cpython-38,IndexError,constant index out of range,site-packages/decompyle3/scanners/scanner37.py:ingest <- site-packages/decompyle3/scanners/scanner37base.py:ingest <- site-packages/decompyle3/scanner.py:build_instructions <- site-packages/xdis/bytecode.py:get_instructions_bytes <- site-packages/xdis/bytecode.py:get_logical_instruction_at_offset <- site-packages/xdis/bytecode.py:get_const_info,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-05df3261717a.pyc,decompyle3,decompile,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 11...",data/rq4/tool_traces/cpython-38/cpython-38-05df3261717a/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-05df3261717a/decompyle3.stderr.txt
rq4-decompyle3-d8259630f68d,decompyle3,cpython-38,AssertionError,empty message,site-packages/decompyle3/semantics/make_function36.py:make_function36 <- site-packages/decompyle3/scanner.py:__init__ <- site-packages/decompyle3/scanners/scanner38.py:ingest <- site-packages/decompyle3/scanners/scanner37.py:ingest <- site-packages/decompyle3/scanners/scanner37base.py:ingest <- site-packages/decompyle3/scanner.py:get_inst,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-0e6ea9f74fdd.pyc,decompyle3,decompile,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 11...",data/rq4/tool_traces/cpython-38/cpython-38-0e6ea9f74fdd/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-0e6ea9f74fdd/decompyle3.stderr.txt
rq4-decompyle3-f2c2accc5c76,decompyle3,cpython-38,TypeError,malformed marshal loader state,site-packages/xdis/load.py:load_module_from_file_object <- site-packages/xdis/unmarshal.py:load_code <- site-packages/xdis/unmarshal.py:load <- site-packages/xdis/unmarshal.py:r_object <- site-packages/xdis/unmarshal.py:t_code,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-09cf932ac7c9.pyc,decompyle3,decompile,exit_2,"Unknown type 64 (hex 40) @ Unknown type 0 (hex 0) \\\\0 Unknown type 0 (hex 0) \\\\0 Unknown type 0 (hex 0) \\\\0 Traceback (most recent call last): File ""/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-38/lib/python3.8/site-packages/xdis/load....",data/rq4/tool_traces/cpython-38/cpython-38-09cf932ac7c9/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-09cf932ac7c9/decompyle3.stderr.txt
rq4-decompyle3-a414ee2fcdbb,decompyle3,cpython-38,IndexError,jump target or bytecode offset out of range,site-packages/decompyle3/semantics/make_function36.py:make_function36 <- site-packages/decompyle3/scanner.py:__init__ <- site-packages/decompyle3/scanners/scanner38.py:ingest <- site-packages/decompyle3/scanners/scanner37.py:ingest <- site-packages/decompyle3/scanners/scanner37base.py:ingest <- site-packages/decompyle3/scanner.py:get_inst,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-172b46bc6f63.pyc,decompyle3,decompile,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 11...",data/rq4/tool_traces/cpython-38/cpython-38-172b46bc6f63/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-172b46bc6f63/decompyle3.stderr.txt
rq4-decompyle3-e35c258e69bb,decompyle3,cpython-38,IndexError,constant index out of range,site-packages/decompyle3/scanners/scanner38.py:ingest <- site-packages/decompyle3/scanners/scanner37.py:ingest <- site-packages/decompyle3/scanners/scanner37base.py:ingest <- site-packages/decompyle3/scanner.py:build_instructions <- site-packages/xdis/bytecode.py:get_instructions_bytes <- site-packages/xdis/bytecode.py:get_logical_instruction_at_offset,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-3cebf488677b.pyc,decompyle3,decompile,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 11...",data/rq4/tool_traces/cpython-38/cpython-38-3cebf488677b/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-3cebf488677b/decompyle3.stderr.txt
rq4-decompyle3-34887820cf0f,decompyle3,cpython-38,IndexError,constant index out of range,site-packages/decompyle3/scanners/scanner37.py:ingest <- site-packages/decompyle3/scanners/scanner37base.py:ingest <- site-packages/decompyle3/scanner.py:build_instructions <- site-packages/xdis/bytecode.py:get_instructions_bytes <- site-packages/xdis/bytecode.py:get_logical_instruction_at_offset <- site-packages/xdis/bytecode.py:get_const_info,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-428375de16b7.pyc,decompyle3,decompile,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 11...",data/rq4/tool_traces/cpython-38/cpython-38-428375de16b7/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-428375de16b7/decompyle3.stderr.txt
rq4-decompyle3-d8259630f68d,decompyle3,cpython-38,AssertionError,empty message,site-packages/decompyle3/semantics/make_function36.py:make_function36 <- site-packages/decompyle3/scanner.py:__init__ <- site-packages/decompyle3/scanners/scanner38.py:ingest <- site-packages/decompyle3/scanners/scanner37.py:ingest <- site-packages/decompyle3/scanners/scanner37base.py:ingest <- site-packages/decompyle3/scanner.py:get_inst,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-46a59a1a86c9.pyc,decompyle3,decompile,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 11...",data/rq4/tool_traces/cpython-38/cpython-38-46a59a1a86c9/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-46a59a1a86c9/decompyle3.stderr.txt
rq4-decompyle3-5c1bac28ece4,decompyle3,cpython-38,TypeError,argument of type 'int' is not iterable,site-packages/decompyle3/semantics/n_actions.py:n_mkfunc <- site-packages/decompyle3/semantics/make_function36.py:make_function36 <- site-packages/decompyle3/scanner.py:__init__ <- site-packages/decompyle3/scanners/scanner38.py:ingest <- site-packages/decompyle3/scanners/scanner37.py:ingest <- site-packages/decompyle3/scanners/scanner37base.py:ingest,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-5e5346c1cf8a.pyc,decompyle3,decompile,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/home/awen/git/PybcSEC/PycLens/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 11...",data/rq4/tool_traces/cpython-38/cpython-38-5e5346c1cf8a/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-5e5346c1cf8a/decompyle3.stderr.txt
