bug_id,tool,python_tag,failure_type,specific_cause,stack_signature,tool_result_count,findings,statuses,representative_finding,representative_stdout,representative_stderr,example_findings
rq4-decompyle3-34887820cf0f,decompyle3,cpython-38,IndexError,constant index out of range,site-packages/decompyle3/scanners/scanner37.py:ingest <- site-packages/decompyle3/scanners/scanner37base.py:ingest <- site-packages/decompyle3/scanner.py:build_instructions <- site-packages/xdis/bytecode.py:get_instructions_bytes <- site-packages/xdis/bytecode.py:get_logical_instruction_at_offset <- site-packages/xdis/bytecode.py:get_const_info,8,8,exit_1,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-1023437964e6.pyc,data/rq4/tool_traces/cpython-38/cpython-38-1023437964e6/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-1023437964e6/decompyle3.stderr.txt,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-1023437964e6.pyc;data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-05df3261717a.pyc;data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-428375de16b7.pyc;data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-7b90ad31f7e8.pyc;data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-c18f3ce00206.pyc
rq4-decompyle3-205cb50c5c0c,decompyle3,cpython-313,SIGSEGV,process crashed with signal 11,,6,6,exit_-11,data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-089a998b290e.pyc,data/rq4/tool_traces/cpython-313/cpython-313-089a998b290e/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-313/cpython-313-089a998b290e/decompyle3.stderr.txt,data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-089a998b290e.pyc;data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-437dc676a244.pyc;data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-67ca27a414de.pyc;data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-7c3c7040a8a0.pyc;data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-8ac23cabb596.pyc
rq4-decompyle3-4f2ab4edd998,decompyle3,cpython-312,SIGSEGV,process crashed with signal 11,,4,4,exit_-11,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-2bcc6ad1f7bb.pyc,data/rq4/tool_traces/cpython-312/cpython-312-2bcc6ad1f7bb/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-312/cpython-312-2bcc6ad1f7bb/decompyle3.stderr.txt,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-2bcc6ad1f7bb.pyc;data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-58e8048ac5da.pyc;data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-901be4fc6696.pyc;data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-a121b010b70b.pyc
rq4-pylingual-78e556653975,pylingual,cpython-312,SIGSEGV,process crashed with signal 11,,4,4,exit_-11,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-2bcc6ad1f7bb.pyc,data/rq4/tool_traces/cpython-312/cpython-312-2bcc6ad1f7bb/pylingual.stdout.txt,data/rq4/tool_traces/cpython-312/cpython-312-2bcc6ad1f7bb/pylingual.stderr.txt,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-2bcc6ad1f7bb.pyc;data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-58e8048ac5da.pyc;data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-901be4fc6696.pyc;data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-a121b010b70b.pyc
rq4-decompyle3-a414ee2fcdbb,decompyle3,cpython-38,IndexError,jump target or bytecode offset out of range,site-packages/decompyle3/semantics/make_function36.py:make_function36 <- site-packages/decompyle3/scanner.py:__init__ <- site-packages/decompyle3/scanners/scanner38.py:ingest <- site-packages/decompyle3/scanners/scanner37.py:ingest <- site-packages/decompyle3/scanners/scanner37base.py:ingest <- site-packages/decompyle3/scanner.py:get_inst,3,3,exit_1,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-172b46bc6f63.pyc,data/rq4/tool_traces/cpython-38/cpython-38-172b46bc6f63/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-172b46bc6f63/decompyle3.stderr.txt,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-172b46bc6f63.pyc;data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-6273a738710f.pyc;data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-717ef7a927e1.pyc
rq4-pylingual-e2f199efc530,pylingual,cpython-310,SIGILL,process crashed with signal 4,,3,3,exit_-4,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-987b9fe188ce.pyc,data/rq4/tool_traces/cpython-310/cpython-310-987b9fe188ce/pylingual.stdout.txt,data/rq4/tool_traces/cpython-310/cpython-310-987b9fe188ce/pylingual.stderr.txt,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-987b9fe188ce.pyc;data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-bfa4ec2fcc83.pyc;data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-ed6225ecbcc3.pyc
rq4-pylingual-4cfed44c0425,pylingual,cpython-312,SIGABRT,allocator/heap abort,,3,3,exit_-6,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-413e7385bec6.pyc,data/rq4/tool_traces/cpython-312/cpython-312-413e7385bec6/pylingual.stdout.txt,data/rq4/tool_traces/cpython-312/cpython-312-413e7385bec6/pylingual.stderr.txt,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-413e7385bec6.pyc;data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-6e3193687da1.pyc;data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-eb581a73e180.pyc
rq4-pylingual-80ef8f93c939,pylingual,cpython-38,Timeout,did not terminate within 600s,,3,3,timeout,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-80372b990fd5.pyc,data/rq4/tool_traces/cpython-38/cpython-38-80372b990fd5/pylingual.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-80372b990fd5/pylingual.stderr.txt,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-80372b990fd5.pyc;data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-8757a6d804b7.pyc;data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-ba15f27986b7.pyc
rq4-decompyle3-b21e73d9982b,decompyle3,cpython-38,AssertionError,empty message,site-packages/decompyle3/main.py:decompile_file <- site-packages/decompyle3/main.py:decompile <- site-packages/decompyle3/semantics/pysource.py:code_deparse <- site-packages/decompyle3/scanners/scanner38.py:ingest <- site-packages/decompyle3/scanners/scanner37.py:ingest <- site-packages/decompyle3/scanners/scanner37base.py:bound_collection_from_tokens,2,2,exit_1,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-6fc7c4e73992.pyc,data/rq4/tool_traces/cpython-38/cpython-38-6fc7c4e73992/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-6fc7c4e73992/decompyle3.stderr.txt,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-6fc7c4e73992.pyc;data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-d9e88510d3f6.pyc
rq4-decompyle3-d8259630f68d,decompyle3,cpython-38,AssertionError,empty message,site-packages/decompyle3/semantics/make_function36.py:make_function36 <- site-packages/decompyle3/scanner.py:__init__ <- site-packages/decompyle3/scanners/scanner38.py:ingest <- site-packages/decompyle3/scanners/scanner37.py:ingest <- site-packages/decompyle3/scanners/scanner37base.py:ingest <- site-packages/decompyle3/scanner.py:get_inst,2,2,exit_1,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-0e6ea9f74fdd.pyc,data/rq4/tool_traces/cpython-38/cpython-38-0e6ea9f74fdd/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-0e6ea9f74fdd/decompyle3.stderr.txt,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-0e6ea9f74fdd.pyc;data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-46a59a1a86c9.pyc
