python_version,bug_id,tool,exception_type,error_detail,location,stderr_file,stdout_file,stdout_bytes,stderr_bytes
cpython-38,cpython-38-05df3261717a,decompyle3,IndexError,constant index out of range,xdis.bytecode.get_const_info,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-05df3261717a/decompyle3.stderr.txt,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-05df3261717a/decompyle3.stdout.txt,5709,5453
cpython-38,cpython-38-0e6ea9f74fdd,decompyle3,AssertionError,invalid EXTENDED_ARG sequence,decompyle3.scanner.get_inst,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-0e6ea9f74fdd/decompyle3.stderr.txt,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-0e6ea9f74fdd/decompyle3.stdout.txt,5690,4885
cpython-38,cpython-38-1023437964e6,decompyle3,IndexError,constant index out of range,xdis.bytecode.get_const_info,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-1023437964e6/decompyle3.stderr.txt,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-1023437964e6/decompyle3.stdout.txt,5709,5453
cpython-38,cpython-38-172b46bc6f63,decompyle3,IndexError,jump target or bytecode offset out of range,decompyle3.scanner.get_inst,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-172b46bc6f63/decompyle3.stderr.txt,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-172b46bc6f63/decompyle3.stdout.txt,5695,4899
cpython-38,cpython-38-3cebf488677b,decompyle3,IndexError,compare-op index out of range,xdis.bytecode cmp_op lookup,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-3cebf488677b/decompyle3.stderr.txt,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-3cebf488677b/decompyle3.stdout.txt,5713,5260
cpython-38,cpython-38-428375de16b7,decompyle3,IndexError,constant index out of range,xdis.bytecode.get_const_info,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-428375de16b7/decompyle3.stderr.txt,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-428375de16b7/decompyle3.stdout.txt,31256,9329
cpython-38,cpython-38-46a59a1a86c9,decompyle3,AssertionError,invalid EXTENDED_ARG sequence,decompyle3.scanner.get_inst,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-46a59a1a86c9/decompyle3.stderr.txt,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-46a59a1a86c9/decompyle3.stdout.txt,5690,4885
cpython-38,cpython-38-5e5346c1cf8a,decompyle3,TypeError,unexpected integer operand where iterable value expected,decompyle3.scanner37base inst.argval,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-5e5346c1cf8a/decompyle3.stderr.txt,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-5e5346c1cf8a/decompyle3.stdout.txt,5694,4715
cpython-38,cpython-38-6273a738710f,decompyle3,IndexError,jump target or bytecode offset out of range,decompyle3.scanner.get_inst,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-6273a738710f/decompyle3.stderr.txt,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-6273a738710f/decompyle3.stdout.txt,5696,4899
cpython-38,cpython-38-6fc7c4e73992,decompyle3,AssertionError,collection-bound invariant violation,decompyle3.scanner37base.bound_collection_from_tokens,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-6fc7c4e73992/decompyle3.stderr.txt,pybcSEC/data/rq4/tool_traces/cpython-38/cpython-38-6fc7c4e73992/decompyle3.stdout.txt,299,2158
