input,input_type,files_total,py_files,pyc_files,pycache_dirs,source_less_pyc,has_bytecode,has_dynamic_loading,dynamic_load_hits,magic_numbers,pyc_versions,errors
data/artifacts/pypi/19226331lalitagrawal/0.0.1/19226331LalitAgrawal-0.0.1-py3-none-any.whl,wheel,7,2,0,0,0,False,False,0,,,
data/artifacts/pypi/153957-theme/7.0/153957_theme-7.0-py3-none-any.whl,wheel,29,3,0,0,0,False,False,0,,,
data/artifacts/pypi/19226331lalitagrawal/0.0.1/19226331LalitAgrawal-0.0.1.tar.gz,tar,15,3,0,0,0,False,False,0,,,
data/artifacts/pypi/aadhar-masker/2.1.0/aadhar_masker-2.1.0-py3-none-any.whl,wheel,11,6,0,0,0,False,False,0,,,
data/artifacts/pypi/a2utils/0.0.38/a2utils-0.0.38-py3-none-any.whl,wheel,10,0,0,0,0,False,False,0,,,
data/artifacts/pypi/ab-client-token-validator/1.2.1/ab_client_token_validator-1.2.1-py3-none-any.whl,wheel,17,13,0,0,0,False,False,0,,,
data/artifacts/pypi/aadhar-masker/2.1.0/aadhar_masker-2.1.0.tar.gz,tar,19,6,0,0,0,False,False,0,,,
data/artifacts/pypi/ab-client-token-validator/1.2.1/ab_client_token_validator-1.2.1.tar.gz,tar,18,13,0,0,0,False,False,0,,,
data/artifacts/pypi/a2utils/0.0.38/a2utils-0.0.38.tar.gz,tar,18,1,0,0,0,False,False,0,,,
data/artifacts/pypi/access-django-user-admin/1.6.2/access_django_user_admin-1.6.2-py3-none-any.whl,wheel,38,18,2,1,0,True,False,0,3531:2,cpython-312:2,
data/artifacts/pypi/153957-theme/7.0/153957_theme-7.0.tar.gz,tar,28,3,0,0,0,False,False,0,,,
data/artifacts/pypi/abi-prd/0.1.4/abi_prd-0.1.4-py3-none-any.whl,wheel,45,38,0,0,0,False,False,0,,,
data/artifacts/pypi/aem-page-verifier/0.1.1/aem_page_verifier-0.1.1-py3-none-any.whl,wheel,10,4,0,0,0,False,False,0,,,
data/artifacts/pypi/aem-page-verifier/0.1.1/aem_page_verifier-0.1.1.tar.gz,tar,20,5,0,0,0,False,False,0,,,
data/artifacts/pypi/aduib-mcp-router/1.1.14/aduib_mcp_router-1.1.14-py3-none-any.whl,wheel,60,53,0,0,0,False,True,2,,,
data/artifacts/pypi/agambiaehcrdesign/0.3.0/agambiaehcrdesign-0.3.0-py3-none-any.whl,wheel,7,2,0,0,0,False,False,0,,,
data/artifacts/pypi/agent-seo-engine/0.1.0/agent_seo_engine-0.1.0-py3-none-any.whl,wheel,13,8,0,0,0,False,False,0,,,
data/artifacts/pypi/agambiaehcrdesign/0.3.0/agambiaehcrdesign-0.3.0.tar.gz,tar,15,3,0,0,0,False,False,0,,,
data/artifacts/pypi/ai-agent-passport/0.2.2/ai_agent_passport-0.2.2-py3-none-any.whl,wheel,18,9,0,0,0,False,True,1,,,
data/artifacts/pypi/access-django-user-admin/1.6.2/access_django_user_admin-1.6.2.tar.gz,tar,61,20,2,1,0,True,False,0,3531:2,cpython-312:2,
data/artifacts/pypi/agent-seo-engine/0.1.0/agent_seo_engine-0.1.0.tar.gz,tar,25,10,0,0,0,False,False,0,,,
data/artifacts/pypi/ai-research-agent/1.1.0/ai_research_agent-1.1.0-py3-none-any.whl,wheel,22,13,0,0,0,False,False,0,,,
data/artifacts/pypi/aiden-first-pypi/0.1.2/aiden_first_pypi-0.1.2-py3-none-any.whl,wheel,5,1,0,0,0,False,False,0,,,
data/artifacts/pypi/aiden-first-pypi/0.1.2/aiden_first_pypi-0.1.2.tar.gz,tar,5,1,0,0,0,False,False,0,,,
data/artifacts/pypi/ai-agent-passport/0.2.2/ai_agent_passport-0.2.2.tar.gz,tar,37,17,0,0,0,False,True,1,,,
data/artifacts/pypi/aifunction-nekumelon/0.0.2/AIFunction_nekumelon-0.0.2-py3-none-any.whl,wheel,7,3,0,0,0,False,False,0,,,
data/artifacts/pypi/ailp/0.3/ailp-0.3-py3-none-any.whl,wheel,4,0,0,0,0,False,False,0,,,
data/artifacts/pypi/aifunction-nekumelon/0.0.2/AIFunction-nekumelon-0.0.2.tar.gz,tar,16,3,0,0,0,False,False,0,,,
data/artifacts/pypi/aioident/2.0.0/aioident-2.0.0-py3-none-any.whl,wheel,8,3,0,0,0,False,False,0,,,
data/artifacts/pypi/ailp/0.3/ailp-0.3.tar.gz,tar,9,1,0,0,0,False,False,0,,,
data/artifacts/pypi/aioident/2.0.0/aioident-2.0.0.tar.gz,tar,15,3,0,0,0,False,False,0,,,
data/artifacts/pypi/albibong/1.1.10/albibong-1.1.10-py3-none-any.whl,wheel,73,50,0,0,0,False,True,1,,,
data/artifacts/pypi/aleathor/0.1.0a4/aleathor-0.1.0a4-cp310-cp310-macosx_11_0_arm64.whl,wheel,30,9,0,0,0,False,False,0,,,
data/artifacts/pypi/abi-prd/0.1.4/abi_prd-0.1.4.tar.gz,tar,109,62,0,0,0,False,False,0,,,
data/artifacts/pypi/aleksis-builddeps/2022.6.1/AlekSIS-Builddeps-2022.6.1.tar.gz,tar,4,2,0,0,0,False,False,0,,,
data/artifacts/pypi/aleksis-builddeps/2022.6.1/AlekSIS_Builddeps-2022.6.1-py3-none-any.whl,wheel,4,1,0,0,0,False,False,0,,,
data/artifacts/pypi/alibabacloud-btripopen20220517-py2/1.0.0/alibabacloud_btripopen20220517_py2-1.0.0-py3-none-any.whl,wheel,8,3,0,0,0,False,False,0,,,
data/artifacts/pypi/ai-research-agent/1.1.0/ai_research_agent-1.1.0.tar.gz,tar,32,13,0,0,0,False,False,0,,,
data/artifacts/pypi/alibabacloud-btripopen20220517-py2/1.0.0/alibabacloud_btripopen20220517_py2-1.0.0.tar.gz,tar,18,4,0,0,0,False,False,0,,,
data/artifacts/pypi/alibabacloud-cas20200630-py2/1.0.15/alibabacloud_cas20200630_py2-1.0.15-py3-none-any.whl,wheel,8,3,0,0,0,False,False,0,,,
data/artifacts/pypi/alibabacloud-documentautoml20221229/1.0.13/alibabacloud_documentautoml20221229-1.0.13-py3-none-any.whl,wheel,8,3,0,0,0,False,False,0,,,
data/artifacts/pypi/alibabacloud-documentautoml20221229/1.0.13/alibabacloud_documentautoml20221229-1.0.13.tar.gz,tar,19,4,0,0,0,False,False,0,,,
data/artifacts/pypi/amt-phonetic/1.0.0/amt_phonetic-1.0.0-py3-none-any.whl,wheel,13,7,0,0,0,False,False,0,,,
