artifact,artifact_path,source_less_pyc_files
bestFit-0.3.tar.gz,data/artifacts/pypi/bestfit/0.3/bestFit-0.3.tar.gz,4298
lfedu-0.0.1.tar.gz,data/artifacts/pypi/lfedu/0.0.1/lfedu-0.0.1.tar.gz,1416
tdw-1.13.0.0.tar.gz,data/artifacts/pypi/tdw/1.13.0.0/tdw-1.13.0.0.tar.gz,561
AsyncChatPractice-0.1.3-py2.py3-none-any.whl,data/artifacts/pypi/asyncchatpractice/0.1.3/AsyncChatPractice-0.1.3-py2.py3-none-any.whl,537
optimeed-2.5.3-py3-none-any.whl,data/artifacts/pypi/optimeed/2.5.3/optimeed-2.5.3-py3-none-any.whl,521
optimeed-2.5.3.tar.gz,data/artifacts/pypi/optimeed/2.5.3/optimeed-2.5.3.tar.gz,521
xdis-6.3.0.tar.gz,data/artifacts/pypi/xdis/6.3.0/xdis-6.3.0.tar.gz,458
oracle_automlx-25.3.1-py310-none-any.whl,data/artifacts/pypi/oracle-automlx/25.3.1/oracle_automlx-25.3.1-py310-none-any.whl,449
oracle_ml_insights-1.3.1-py38-none-any.whl,data/artifacts/pypi/oracle-ml-insights/1.3.1/oracle_ml_insights-1.3.1-py38-none-any.whl,400
pykage-0.2.tar.gz,data/artifacts/pypi/pykage/0.2/pykage-0.2.tar.gz,340
uiflow2-0.0.5-cp311-cp311-linux_armv7l.whl,data/artifacts/pypi/uiflow2/0.0.5/uiflow2-0.0.5-cp311-cp311-linux_armv7l.whl,264
igrep_tme-0.1.79-cp312-none-any.whl,data/artifacts/pypi/igrep-tme/0.1.79/igrep_tme-0.1.79-cp312-none-any.whl,260
huangjb_sqlalchemy-2.0.41-cp313-cp313t-linux_armv7l.whl,data/artifacts/pypi/huangjb-sqlalchemy/2.0.41/huangjb_sqlalchemy-2.0.41-cp313-cp313t-linux_armv7l.whl,256
wecon_sqlalchemy-2.0.41-cp313-cp313t-linux_armv7l.whl,data/artifacts/pypi/wecon-sqlalchemy/2.0.41/wecon_sqlalchemy-2.0.41-cp313-cp313t-linux_armv7l.whl,256
leafmesh-2.2.46-cp310-none-any.whl,data/artifacts/pypi/leafmesh/2.2.46/leafmesh-2.2.46-cp310-none-any.whl,170
isage_sage_benchmark-0.1.0.6-py2.py3-none-any.whl,data/artifacts/pypi/isage-sage-benchmark/0.1.0.6/isage_sage_benchmark-0.1.0.6-py2.py3-none-any.whl,163
isage_sage_benchmark-0.1.0.6.tar.gz,data/artifacts/pypi/isage-sage-benchmark/0.1.0.6/isage_sage_benchmark-0.1.0.6.tar.gz,163
reviewboardpowerpack-6.0-cp310-none-any.whl,data/artifacts/pypi/reviewboardpowerpack/6.0/reviewboardpowerpack-6.0-cp310-none-any.whl,158
sf_pipelines_test-0.3.0.tar.gz,data/artifacts/pypi/sf-pipelines-test/0.3.0/sf_pipelines_test-0.3.0.tar.gz,158
sf_pipelines_test2-0.1.0.tar.gz,data/artifacts/pypi/sf-pipelines-test2/0.1.0/sf_pipelines_test2-0.1.0.tar.gz,158
lybase-1.0.284-py3-none-any.whl,data/artifacts/pypi/lybase/1.0.284/lybase-1.0.284-py3-none-any.whl,146
qtica-0.6.0.tar.gz,data/artifacts/pypi/qtica/0.6.0/qtica-0.6.0.tar.gz,102
shiyunzi-3.1.29-py2.py3-none-any.whl,data/artifacts/pypi/shiyunzi/3.1.29/shiyunzi-3.1.29-py2.py3-none-any.whl,93
mossflow-0.1.132-py3-none-any.whl,data/artifacts/pypi/mossflow/0.1.132/mossflow-0.1.132-py3-none-any.whl,91
x_python-1.5.3.tar.gz,data/artifacts/pypi/x-python/1.5.3/x_python-1.5.3.tar.gz,89
ydata_fabric_sdk-1.1.5-py310-none-any.whl,data/artifacts/pypi/ydata-fabric-sdk/1.1.5/ydata_fabric_sdk-1.1.5-py310-none-any.whl,87
isage_tools-0.2.4.13-cp311-none-any.whl,data/artifacts/pypi/isage-tools/0.2.4.13/isage_tools-0.2.4.13-cp311-none-any.whl,85
isagellm_core-0.5.4.26-py2.py3-none-any.whl,data/artifacts/pypi/isagellm-core/0.5.4.26/isagellm_core-0.5.4.26-py2.py3-none-any.whl,82
isagellm_core-0.5.4.26.tar.gz,data/artifacts/pypi/isagellm-core/0.5.4.26/isagellm_core-0.5.4.26.tar.gz,82
isagellm_backend-0.5.4.17-py2.py3-none-any.whl,data/artifacts/pypi/isagellm-backend/0.5.4.17/isagellm_backend-0.5.4.17-py2.py3-none-any.whl,74
