package,source_less_pyc_files,artifacts,artifact_types,versions,example_artifacts
bestfit,4298,1,tar,0.3,bestFit-0.3.tar.gz
lfedu,1416,1,tar,0.0.1,lfedu-0.0.1.tar.gz
optimeed,1042,2,tar;wheel,2.5.3,optimeed-2.5.3-py3-none-any.whl;optimeed-2.5.3.tar.gz
tdw,561,1,tar,1.13.0.0,tdw-1.13.0.0.tar.gz
asyncchatpractice,537,1,wheel,0.1.3,AsyncChatPractice-0.1.3-py2.py3-none-any.whl
xdis,458,1,tar,6.3.0,xdis-6.3.0.tar.gz
oracle-automlx,449,1,wheel,25.3.1,oracle_automlx-25.3.1-py310-none-any.whl
oracle-ml-insights,400,1,wheel,1.3.1,oracle_ml_insights-1.3.1-py38-none-any.whl
pykage,340,1,tar,0.2,pykage-0.2.tar.gz
isage-sage-benchmark,326,2,tar;wheel,0.1.0.6,isage_sage_benchmark-0.1.0.6-py2.py3-none-any.whl;isage_sage_benchmark-0.1.0.6.tar.gz
uiflow2,264,1,wheel,0.0.5,uiflow2-0.0.5-cp311-cp311-linux_armv7l.whl
igrep-tme,260,1,wheel,0.1.79,igrep_tme-0.1.79-cp312-none-any.whl
huangjb-sqlalchemy,256,1,wheel,2.0.41,huangjb_sqlalchemy-2.0.41-cp313-cp313t-linux_armv7l.whl
wecon-sqlalchemy,256,1,wheel,2.0.41,wecon_sqlalchemy-2.0.41-cp313-cp313t-linux_armv7l.whl
leafmesh,170,1,wheel,2.2.46,leafmesh-2.2.46-cp310-none-any.whl
isagellm-core,164,2,tar;wheel,0.5.4.26,isagellm_core-0.5.4.26-py2.py3-none-any.whl;isagellm_core-0.5.4.26.tar.gz
reviewboardpowerpack,158,1,wheel,6.0,reviewboardpowerpack-6.0-cp310-none-any.whl
sf-pipelines-test,158,1,tar,0.3.0,sf_pipelines_test-0.3.0.tar.gz
sf-pipelines-test2,158,1,tar,0.1.0,sf_pipelines_test2-0.1.0.tar.gz
isagellm-backend,148,2,tar;wheel,0.5.4.17,isagellm_backend-0.5.4.17-py2.py3-none-any.whl;isagellm_backend-0.5.4.17.tar.gz
lybase,146,1,wheel,1.0.284,lybase-1.0.284-py3-none-any.whl
sevals,126,2,tar;wheel,0.0.3,sevals-0.0.3-py3-none-any.whl;sevals-0.0.3.tar.gz
tinyshare,126,2,tar;wheel,0.1028.0,tinyshare-0.1028.0-py3-none-any.whl;tinyshare-0.1028.0.tar.gz
minishare,112,2,tar;wheel,0.1005.0,minishare-0.1005.0-py3-none-any.whl;minishare-0.1005.0.tar.gz
softwareai,108,2,tar;wheel,0.5.73,softwareai-0.5.73-py3-none-any.whl;softwareai-0.5.73.tar.gz
qtica,102,1,tar,0.6.0,qtica-0.6.0.tar.gz
multiqc-vlad,100,2,tar;wheel,1.30.dev20250821143134,multiqc_vlad-1.30.dev20250821143134-py3-none-any.whl;multiqc_vlad-1.30.dev20250821143134.tar.gz
isagellm-comm,96,2,tar;wheel,0.5.4.15,isagellm_comm-0.5.4.15-py2.py3-none-any.whl;isagellm_comm-0.5.4.15.tar.gz
shiyunzi,93,1,wheel,3.1.29,shiyunzi-3.1.29-py2.py3-none-any.whl
mossflow,91,1,wheel,0.1.132,mossflow-0.1.132-py3-none-any.whl
