package,version,artifact,artifact_type,source_less_pyc,source_less_pyc_pct_in_artifact,python_tags,dynamic_loading_indicator,dynamic_load_hits,keyword_categories
bestfit,0.3,bestFit-0.3.tar.gz,tar,4298,98.67,cpython-38;cpython-39,True,5,build;cli;data;ml;network;plugin;security;testing
lfedu,0.0.1,lfedu-0.0.1.tar.gz,tar,1416,99.86,cpython-38,True,1,build;cli;data;ml;network;plugin;security;testing
asyncchatpractice,0.1.3,AsyncChatPractice-0.1.3-py2.py3-none-any.whl,wheel,537,100.00,cpython-311,True,6,data;network;security;testing
oracle-automlx,25.3.1,oracle_automlx-25.3.1-py310-none-any.whl,wheel,449,100.00,cpython-310,False,0,data;ml;security
oracle-ml-insights,1.3.1,oracle_ml_insights-1.3.1-py38-none-any.whl,wheel,400,100.00,cpython-38,False,0,cli;data;ml;network;plugin;security;testing
pykage,0.2,pykage-0.2.tar.gz,tar,340,100.00,cpython-310,True,1,build;cli;data;network;security;testing
uiflow2,0.0.5,uiflow2-0.0.5-cp311-cp311-linux_armv7l.whl,wheel,264,100.00,cpython-311,False,0,cli;network;security;testing
igrep-tme,0.1.79,igrep_tme-0.1.79-cp312-none-any.whl,wheel,260,93.19,cpython-312,True,2,build;cli;data;ml;network;plugin;security
leafmesh,2.2.46,leafmesh-2.2.46-cp310-none-any.whl,wheel,170,100.00,cpython-310,False,0,build;data;ml;network;security
reviewboardpowerpack,6.0,reviewboardpowerpack-6.0-cp310-none-any.whl,wheel,158,100.00,cpython-310,False,0,data;network;plugin;security
lybase,1.0.284,lybase-1.0.284-py3-none-any.whl,wheel,146,100.00,cpython-310,False,0,build;data;ml;network;security
shiyunzi,3.1.29,shiyunzi-3.1.29-py2.py3-none-any.whl,wheel,93,93.94,cpython-313,False,0,ml;network;security
tinyshare,0.1028.0,tinyshare-0.1028.0-py3-none-any.whl,wheel,63,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,True,3,network;security
tinyshare,0.1028.0,tinyshare-0.1028.0.tar.gz,tar,63,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,True,3,network;security
minishare,0.1005.0,minishare-0.1005.0-py3-none-any.whl,wheel,56,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,True,3,security
