package,version,filename,packagetype,python_version,url,size,sha256,local_path,status,error
0xmpp,0.0.0,,,,https://pypi.org/pypi/0xmpp/json,0,,,no_recent_release_files,
aadhar-masker,2.1.0,aadhar_masker-2.1.0-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/ad/0e/8c6d6f01da2a46c05acc6bcf02d5c9605313d8aa8e484796b3b2ac4dea46/aadhar_masker-2.1.0-py3-none-any.whl,9117,0830b3457102a6e650b09d35d0f772376c7bebf092ef4c61d4864431f79399e1,data/artifacts/pypi/aadhar-masker/2.1.0/aadhar_masker-2.1.0-py3-none-any.whl,downloaded,
aadhar-masker,2.1.0,aadhar_masker-2.1.0.tar.gz,sdist,source,https://files.pythonhosted.org/packages/d6/a6/6f1503d6b028af5ef2e50b348739fb5c517e31813c389fcd5aa2be44c039/aadhar_masker-2.1.0.tar.gz,7811,94d0bb3fdcf8510f6c47e97baaae1973a7d5f4b22cd952ec1aaab1d8d6b18186,data/artifacts/pypi/aadhar-masker/2.1.0/aadhar_masker-2.1.0.tar.gz,downloaded,
19226331lalitagrawal,0.0.1,19226331LalitAgrawal-0.0.1-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/62/fd/9e065c792bd72cbf87bd191f48f2deabcca8d45c46a84fb21e9182a5c923/19226331LalitAgrawal-0.0.1-py3-none-any.whl,2244,f01e0c5a88b6ea2af95460120fbf585dc5f70f01f9bba3776d353599bbc2c2aa,data/artifacts/pypi/19226331lalitagrawal/0.0.1/19226331LalitAgrawal-0.0.1-py3-none-any.whl,downloaded,
19226331lalitagrawal,0.0.1,19226331LalitAgrawal-0.0.1.tar.gz,sdist,source,https://files.pythonhosted.org/packages/74/a8/e28c3ca46fc8fc5e97849ff3c5db05104721a69ef0cc5811013c6dc471e8/19226331LalitAgrawal-0.0.1.tar.gz,1600,246231bc9bbcc13c80db74ce5c13e518fe6732d2fedb86b627c546300e449fe6,data/artifacts/pypi/19226331lalitagrawal/0.0.1/19226331LalitAgrawal-0.0.1.tar.gz,downloaded,
a2utils,0.0.38,a2utils-0.0.38-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/ba/17/eae5e2e3c2978d127d02eb2a9a0e9356ffd5f875beb99f570f8651a4946a/a2utils-0.0.38-py3-none-any.whl,22614,a55e2277ecc9cdaf8334c89fc0de8fc998e209462712220b279d6c2ed364464c,data/artifacts/pypi/a2utils/0.0.38/a2utils-0.0.38-py3-none-any.whl,downloaded,
a2utils,0.0.38,a2utils-0.0.38.tar.gz,sdist,source,https://files.pythonhosted.org/packages/ea/3e/cb65e30e13cd4c06eb6c96a7d27214cde24b28d7e6dfd8a3c7daff2f4ec4/a2utils-0.0.38.tar.gz,22178,c75ab86817e727951fe445611d89d4e6b90425a9b2c975358c7c0a387a463fd5,data/artifacts/pypi/a2utils/0.0.38/a2utils-0.0.38.tar.gz,downloaded,
153957-theme,7.0,153957_theme-7.0-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/36/cd/661c8a66cf77c3175eabbe4c4175d5f842bda67dfa0d302fc814da10bab5/153957_theme-7.0-py3-none-any.whl,78909,d847949a911976b5903834ef7455a595e58443b4aed4be70529dcfc97081d161,data/artifacts/pypi/153957-theme/7.0/153957_theme-7.0-py3-none-any.whl,downloaded,
153957-theme,7.0,153957_theme-7.0.tar.gz,sdist,source,https://files.pythonhosted.org/packages/1a/70/075ffd04046ea2b3a8d3f283bdd96fed36d6a7423af1435f6a1b890800f3/153957_theme-7.0.tar.gz,76418,5d3b3ecb9bae550548ed547bb2eb6407560d7e97dfa2b6a27b639ff1708ffdb5,data/artifacts/pypi/153957-theme/7.0/153957_theme-7.0.tar.gz,downloaded,
ab-client-token-validator,1.2.1,ab_client_token_validator-1.2.1-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/93/66/6ca7e5c8c2aebd164d63f5e000c802a117c1843f52b5f715e96a9fc4e06e/ab_client_token_validator-1.2.1-py3-none-any.whl,10330,da012187775a02ed4ac72ea7625f7f6f172ab052196700cbf9fd266cdf3f3c49,data/artifacts/pypi/ab-client-token-validator/1.2.1/ab_client_token_validator-1.2.1-py3-none-any.whl,downloaded,
ab-client-token-validator,1.2.1,ab_client_token_validator-1.2.1.tar.gz,sdist,source,https://files.pythonhosted.org/packages/81/a6/d3c4d5e9fdee2304d6a4238b474fb77e85705efa60d20d11fc4f1b4ff876/ab_client_token_validator-1.2.1.tar.gz,7666,7be25ed73f131c207693b49fc285ceddcd7e784fbcf8ad471a0f163e75c964c7,data/artifacts/pypi/ab-client-token-validator/1.2.1/ab_client_token_validator-1.2.1.tar.gz,downloaded,
abi-prd,0.1.4,abi_prd-0.1.4-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/87/01/8d72e7f598428fdf558a30d0a80caed2ae9af929794e87a9e9594655720b/abi_prd-0.1.4-py3-none-any.whl,43310,bb9102a1b3496881aaaeb21ad6164870ff5151295195338ea1b97cb70f827910,data/artifacts/pypi/abi-prd/0.1.4/abi_prd-0.1.4-py3-none-any.whl,downloaded,
abi-prd,0.1.4,abi_prd-0.1.4.tar.gz,sdist,source,https://files.pythonhosted.org/packages/ad/65/85954df0c336d898a22b35ac87cd5b7c3b215a6431c02b51fd8a7a4d3e37/abi_prd-0.1.4.tar.gz,127300,a6a9a84b39bc933e783c94dceae1bf9d86fb0aa21c0b00beca10100513506dee,data/artifacts/pypi/abi-prd/0.1.4/abi_prd-0.1.4.tar.gz,downloaded,
afei,1.0.0,,,,https://pypi.org/pypi/afei/json,0,,,no_recent_release_files,
access-django-user-admin,1.6.2,access_django_user_admin-1.6.2-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/5b/bb/599a18fbc79a6dfd7a2e933fbefa6bc6bb4dda142c50e00a8db57cfae50b/access_django_user_admin-1.6.2-py3-none-any.whl,132383,4055f0a6c0c8274593fa806e9721973dfdbdf0177cb631a912af29ed418d3c1f,data/artifacts/pypi/access-django-user-admin/1.6.2/access_django_user_admin-1.6.2-py3-none-any.whl,downloaded,
access-django-user-admin,1.6.2,access_django_user_admin-1.6.2.tar.gz,sdist,source,https://files.pythonhosted.org/packages/be/73/fca0b4fc2b1dfabbc46bb18cdcaabf24b832ac97fe0d16f943cc841d58a4/access_django_user_admin-1.6.2.tar.gz,130696,91ad9cedf943be9d94d14d84390cd9ff11ac103c7b3e840e73bbaedc273230d9,data/artifacts/pypi/access-django-user-admin/1.6.2/access_django_user_admin-1.6.2.tar.gz,downloaded,
aduib-mcp-router,1.1.14,aduib_mcp_router-1.1.14-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/c2/a8/5707fee70e8700cd268302a3e25bd924664041c594a3b34e579dfe5e3d87/aduib_mcp_router-1.1.14-py3-none-any.whl,74712,6359ef69b57b4b8148cfc9fb3ad6a3441112df923a656fb3cf1d0f9f096c4285,data/artifacts/pypi/aduib-mcp-router/1.1.14/aduib_mcp_router-1.1.14-py3-none-any.whl,downloaded,
aduib-mcp-router,1.1.14,aduib_mcp_router-1.1.14.tar.gz,sdist,source,https://files.pythonhosted.org/packages/17/b0/d5efbd6854bbb9888404e7bac80fd6740c4d4949de41cc3bc0ad91f399f0/aduib_mcp_router-1.1.14.tar.gz,462405,8687dc25963840b09ad6213ed7451d0b37a21a6eaf972175d5c19847f70fc2e6,data/artifacts/pypi/aduib-mcp-router/1.1.14/aduib_mcp_router-1.1.14.tar.gz,downloaded,
agentbill-langchain,,,,,https://pypi.org/pypi/agentbill-langchain/json,0,,,error,HTTPError: HTTP Error 404: Not Found
aegisgraph,,,,,https://pypi.org/pypi/aegisgraph/json,0,,,error,HTTPError: HTTP Error 404: Not Found
