kind,name,count,interpreter
python_tag,cpython-26-PYTEST,46,
python_tag,cpython-27-PYTEST,148,
python_tag,cpython-31-PYTEST,3,
python_tag,cpython-310,47628,python3.10
python_tag,cpython-310 2,4,
python_tag,cpython-310-pytest-6,498,
python_tag,cpython-310-pytest-7,521,
python_tag,cpython-310-pytest-8,306,
python_tag,cpython-310-pytest-9,245,
python_tag,cpython-311,34773,python3.11
python_tag,cpython-311-Matthew’s MacBook Pro,2,
python_tag,cpython-311-pytest-6,49,
python_tag,cpython-311-pytest-7,443,
python_tag,cpython-311-pytest-8,317,
python_tag,cpython-311-pytest-9,91,
python_tag,cpython-312,34924,python3.12
python_tag,cpython-312(1),1,
python_tag,cpython-312-pytest-7,121,
python_tag,cpython-312-pytest-8,584,
python_tag,cpython-312-pytest-9,236,
python_tag,cpython-313,11837,python3.13
python_tag,cpython-313-pytest-7,41,
python_tag,cpython-313-pytest-8,381,
python_tag,cpython-313-pytest-9,211,
python_tag,cpython-314,2823,python3.14
python_tag,cpython-314-pytest-8,33,
python_tag,cpython-314-pytest-9,191,
python_tag,cpython-315,1,python3.15
python_tag,cpython-32,2,python3.2
python_tag,cpython-33,13,python3.3
python_tag,cpython-34,127,python3.4
python_tag,cpython-34-PYTEST,34,
python_tag,cpython-35,962,python3.5
python_tag,cpython-35-PYTEST,11,
python_tag,cpython-35-pytest-5,4,
python_tag,cpython-35-pytest-6,5,
python_tag,cpython-36,5572,python3.6
python_tag,cpython-36 (conflicted copy 2019-11-22 162128),2,
python_tag,cpython-36 (conflicted copy 2020-04-08 104020),1,
python_tag,cpython-36 (conflicted copy 2020-05-20 055126),1,
python_tag,cpython-36-DESKTOP-A96PE4D,2,
python_tag,cpython-36-PYTEST,51,
python_tag,cpython-36-pytest-5,22,
python_tag,cpython-36-pytest-6,52,
python_tag,cpython-36-pytest-7,86,
python_tag,cpython-37,9474,python3.7
python_tag,cpython-37 (Maximilians-iMac-Pro,12,
python_tag,cpython-37 2,4,
python_tag,cpython-37-PYTEST,15,
python_tag,cpython-37-pytest-5,77,
python_tag,cpython-37-pytest-6,221,
python_tag,cpython-37-pytest-7,151,
python_tag,cpython-38,29404,python3.8
python_tag,cpython-38-PYTEST,19,
python_tag,cpython-38-pytest-5,137,
python_tag,cpython-38-pytest-6,271,
python_tag,cpython-38-pytest-7,824,
python_tag,cpython-38-pytest-8,104,
python_tag,cpython-39,29265,python3.9
python_tag,cpython-39 2,2,
python_tag,cpython-39-PYTEST,12,
python_tag,cpython-39-pytest-5,4,
python_tag,cpython-39-pytest-6,395,
python_tag,cpython-39-pytest-7,183,
python_tag,cpython-39-pytest-8,224,
python_tag,cpython-xxx,2,pythonx.xx
python_tag,pypy-27-PYTEST,25,
python_tag,unknown,14348,
magic_number,10147,1,
magic_number,112,59,
magic_number,11913,10,
magic_number,160,9,
magic_number,192,56,
magic_number,19280,2,
magic_number,20121,67,
magic_number,21280,8,
magic_number,21290,142,
magic_number,22463,1,
magic_number,240,72,
magic_number,24881,6,
magic_number,256,7,
magic_number,28783,1,
magic_number,3131,32,
magic_number,3151,30,
magic_number,3180,92,
magic_number,3230,117,
magic_number,3310,278,
magic_number,3350,470,
magic_number,3351,1230,
magic_number,336,80,
magic_number,3372,1,
magic_number,3378,2,
magic_number,3379,6528,
magic_number,3393,41,
magic_number,3394,10524,
magic_number,3401,22,
magic_number,3412,1,
magic_number,3413,31607,
magic_number,3425,30319,
magic_number,3439,51470,
magic_number,3495,38205,
magic_number,3520,19,
magic_number,3531,36617,
magic_number,3571,13274,
magic_number,3606,2,
magic_number,3627,3230,
magic_number,3659,1,
magic_number,384,157,
magic_number,39170,11,
magic_number,39171,6,
magic_number,400,181,
magic_number,416,166,
magic_number,42946,113,
magic_number,47009,1,
magic_number,47010,1,
magic_number,48,47,
magic_number,50428,2,
magic_number,57505,1,
magic_number,58017,2,
magic_number,58273,1,
magic_number,5892,26,
magic_number,59349,1,
magic_number,60202,98,
magic_number,60321,6,
magic_number,6051,1,
magic_number,60577,1,
magic_number,60717,12,
magic_number,61345,2,
magic_number,62011,50,
magic_number,62061,120,
magic_number,62131,76,
magic_number,62135,1,
magic_number,62161,229,
magic_number,62211,2501,
magic_number,62218,79,
magic_number,8508,2,
magic_number,8738,25,
magic_number,9595,14,
