case_id,copied_pyc,status,reason,artifact,package,version,artifact_type,pyc_path,python_tag,magic_number,source_present,overall_level,overall_label,tools,statuses,reason_categories,reasons
d55dfcba697a,aimmocore-0.1.15-cpython-38-d55dfcba697a.pyc,copied,,aimmocore-0.1.15-py3-none-any.whl,aimmocore,0.1.15,wheel,aimmocore/core/__pycache__/storages.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,decompyle3,exit_1,tool_exit,"decompyle3:exit_1:Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _..."
925f60668dba,aimmocore-0.1.15-cpython-38-925f60668dba.pyc,copied,,aimmocore-0.1.15.tar.gz,aimmocore,0.1.15,tar,aimmocore-0.1.15/aimmocore/core/__pycache__/storages.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,decompyle3,exit_1,tool_exit,"decompyle3:exit_1:Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _..."
704c99d27ff4,aioinstagrapi-1.1.21-cpython-38-704c99d27ff4.pyc,copied,,aioinstagrapi-1.1.21-py3-none-any.whl,aioinstagrapi,1.1.21,wheel,aioinstagrapi/mixins/__pycache__/hashtag.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,decompyle3,exit_1,tool_exit,"decompyle3:exit_1:Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _..."
4b50f1a66772,aioinstagrapi-1.1.21-cpython-38-4b50f1a66772.pyc,copied,,aioinstagrapi-1.1.21.tar.gz,aioinstagrapi,1.1.21,tar,aioinstagrapi-1.1.21/aioinstagrapi/mixins/__pycache__/hashtag.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,decompyle3,exit_1,tool_exit,"decompyle3:exit_1:Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _..."
37fc32062894,apoplast-3.0.7-cpython-311-37fc32062894.pyc,copied,,apoplast-3.0.7.tar.gz,apoplast,3.0.7,tar,apoplast-3.0.7/venues/stages/apoplast/clouds/supp_NIH/nature/form/serving_size/amount/__pycache__/__init__.cpython-311.pyc,cpython-311,42946,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,marshal:error:marshal_failed: || decompyle3:exit_2:/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-311/lib/python3.11/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...
a4f677675652,apoplast-3.0.7-cpython-311-a4f677675652.pyc,copied,,apoplast-3.0.7.tar.gz,apoplast,3.0.7,tar,apoplast-3.0.7/venues/stages/apoplast/clouds/supp_NIH/nature/form/unit/__pycache__/__init__.cpython-311.pyc,cpython-311,42946,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,marshal:error:marshal_failed: || decompyle3:exit_2:/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-311/lib/python3.11/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...
b0873c19374b,apoplast-3.0.7-cpython-311-b0873c19374b.pyc,copied,,apoplast-3.0.7.tar.gz,apoplast,3.0.7,tar,apoplast-3.0.7/venues/stages/apoplast/mixes/insure/__pycache__/equalities.cpython-311.pyc,cpython-311,42946,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,marshal:error:marshal_failed: || decompyle3:exit_2:/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-311/lib/python3.11/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...
845eb96db5db,apoplast-3.0.7-cpython-311-845eb96db5db.pyc,copied,,apoplast-3.0.7.tar.gz,apoplast,3.0.7,tar,apoplast-3.0.7/venues/stages/apoplast/mixes/insure/__pycache__/equality.cpython-311.pyc,cpython-311,42946,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,marshal:error:marshal_failed: || decompyle3:exit_2:/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-311/lib/python3.11/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...
21d031c95241,apoplast-3.0.7-cpython-311-21d031c95241.pyc,copied,,apoplast-3.0.7.tar.gz,apoplast,3.0.7,tar,apoplast-3.0.7/venues/stages/apoplast/mixes/insure/__pycache__/override_print.cpython-311.pyc,cpython-311,42946,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,marshal:error:marshal_failed: || decompyle3:exit_2:/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-311/lib/python3.11/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...
6c3a28494a6e,assignment-autograder-3.7.6-cpython-38-6c3a28494a6e.pyc,copied,,assignment-autograder-3.7.6.tar.gz,assignment-autograder,3.7.6,tar,assignment-autograder-3.7.6/autograder/testcase_utils/__pycache__/shell.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,decompyle3,exit_1,tool_exit,"decompyle3:exit_1:Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _..."
1a9217268814,astromorphlib-1.0.13-cpython-38-1a9217268814.pyc,copied,,astromorphlib-1.0.13-py3-none-any.whl,astromorphlib,1.0.13,wheel,stat_lib/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,decompyle3,timeout,timeout,decompyle3:timeout:timeout_after_600s
