artifact,package,version,artifact_type,source_less_pyc,python_tags,levels,pylingual_ok
bestFit-0.3.tar.gz,bestfit,0.3,tar,4298,cpython-38;cpython-39,pylingual_decompilable:4298,4298
lfedu-0.0.1.tar.gz,lfedu,0.0.1,tar,1416,cpython-38,pylingual_decompilable:1416,1416
tdw-1.13.0.0.tar.gz,tdw,1.13.0.0,tar,561,cpython-311,pylingual_decompilable:561,561
AsyncChatPractice-0.1.3-py2.py3-none-any.whl,asyncchatpractice,0.1.3,wheel,537,cpython-311,pylingual_decompilable:537,537
optimeed-2.5.3-py3-none-any.whl,optimeed,2.5.3,wheel,521,cpython-310;cpython-39,pylingual_decompilable:521,521
optimeed-2.5.3.tar.gz,optimeed,2.5.3,tar,521,cpython-310;cpython-39,pylingual_decompilable:521,521
xdis-6.3.0.tar.gz,xdis,6.3.0,tar,458,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,pylingual_decompilable:458,458
oracle_automlx-25.3.1-py310-none-any.whl,oracle-automlx,25.3.1,wheel,449,cpython-310,pylingual_decompilable:449,449
oracle_ml_insights-1.3.1-py38-none-any.whl,oracle-ml-insights,1.3.1,wheel,400,cpython-38,pylingual_decompilable:400,400
pykage-0.2.tar.gz,pykage,0.2,tar,340,cpython-310,pylingual_decompilable:340,340
uiflow2-0.0.5-cp311-cp311-linux_armv7l.whl,uiflow2,0.0.5,wheel,264,cpython-311,pylingual_decompilable:264,264
igrep_tme-0.1.79-cp312-none-any.whl,igrep-tme,0.1.79,wheel,260,cpython-312,pylingual_decompilable:260,260
huangjb_sqlalchemy-2.0.41-cp313-cp313t-linux_armv7l.whl,huangjb-sqlalchemy,2.0.41,wheel,256,cpython-313,pylingual_decompilable:256,256
wecon_sqlalchemy-2.0.41-cp313-cp313t-linux_armv7l.whl,wecon-sqlalchemy,2.0.41,wheel,256,cpython-313,pylingual_decompilable:256,256
leafmesh-2.2.46-cp310-none-any.whl,leafmesh,2.2.46,wheel,170,cpython-310,pylingual_decompilable:170,170
isage_sage_benchmark-0.1.0.6-py2.py3-none-any.whl,isage-sage-benchmark,0.1.0.6,wheel,163,cpython-310;cpython-311,pylingual_decompilable:163,163
isage_sage_benchmark-0.1.0.6.tar.gz,isage-sage-benchmark,0.1.0.6,tar,163,cpython-310;cpython-311,pylingual_decompilable:163,163
reviewboardpowerpack-6.0-cp310-none-any.whl,reviewboardpowerpack,6.0,wheel,158,cpython-310,pylingual_decompilable:158,158
sf_pipelines_test-0.3.0.tar.gz,sf-pipelines-test,0.3.0,tar,158,cpython-310;cpython-311,pylingual_decompilable:158,158
sf_pipelines_test2-0.1.0.tar.gz,sf-pipelines-test2,0.1.0,tar,158,cpython-310;cpython-311,pylingual_decompilable:158,158
lybase-1.0.284-py3-none-any.whl,lybase,1.0.284,wheel,146,cpython-310,pylingual_decompilable:146,146
qtica-0.6.0.tar.gz,qtica,0.6.0,tar,102,cpython-310;cpython-312,pylingual_decompilable:102,102
shiyunzi-3.1.29-py2.py3-none-any.whl,shiyunzi,3.1.29,wheel,93,cpython-313,pylingual_decompilable:93,93
mossflow-0.1.132-py3-none-any.whl,mossflow,0.1.132,wheel,91,cpython-312,pylingual_decompilable:91,91
x_python-1.5.3.tar.gz,x-python,1.5.3,tar,89,cpython-310;cpython-38;cpython-39,pylingual_decompilable:89,89
ydata_fabric_sdk-1.1.5-py310-none-any.whl,ydata-fabric-sdk,1.1.5,wheel,87,cpython-310,pylingual_decompilable:87,87
isage_tools-0.2.4.13-cp311-none-any.whl,isage-tools,0.2.4.13,wheel,85,cpython-311,pylingual_decompilable:85,85
isagellm_core-0.5.4.26-py2.py3-none-any.whl,isagellm-core,0.5.4.26,wheel,82,cpython-311,pylingual_decompilable:82,82
isagellm_core-0.5.4.26.tar.gz,isagellm-core,0.5.4.26,tar,82,cpython-311,pylingual_decompilable:82,82
isagellm_backend-0.5.4.17-py2.py3-none-any.whl,isagellm-backend,0.5.4.17,wheel,74,cpython-311,pylingual_decompilable:74,74
isagellm_backend-0.5.4.17.tar.gz,isagellm-backend,0.5.4.17,tar,74,cpython-311,pylingual_decompilable:74,74
decompyle3-3.9.3.tar.gz,decompyle3,3.9.3,tar,71,cpython-38,pylingual_decompilable:71,71
pi4-0.5.0-py3-none-any.whl,pi4,0.5.0,wheel,71,cpython-39,pylingual_decompilable:71,71
RenRen_Shop-1.0.7.tar.gz,renren-shop,1.0.7,tar,66,cpython-310;cpython-39,pylingual_decompilable:66,66
RenRenMall-0.1.0.tar.gz,renrenmall,0.1.0,tar,66,cpython-310;cpython-39,pylingual_decompilable:66,66
sevals-0.0.3-py3-none-any.whl,sevals,0.0.3,wheel,63,cpython-39,pylingual_decompilable:63,63
sevals-0.0.3.tar.gz,sevals,0.0.3,tar,63,cpython-39,pylingual_decompilable:63,63
tinyshare-0.1028.0-py3-none-any.whl,tinyshare,0.1028.0,wheel,63,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,pylingual_decompilable:63,63
tinyshare-0.1028.0.tar.gz,tinyshare,0.1028.0,tar,63,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,pylingual_decompilable:63,63
zuper_commons_z7-7.3.2507061617-py312-none-any.whl,zuper-commons-z7,7.3.2507061617,wheel,62,cpython-312,pylingual_decompilable:62,62
codespeak-0.1.7.tar.gz,codespeak,0.1.7,tar,59,cpython-310,pylingual_decompilable:59,59
recycling-1.1.0.tar.gz,recycling,1.1.0,tar,57,cpython-310;cpython-311,pylingual_decompilable:57,57
minishare-0.1005.0-py3-none-any.whl,minishare,0.1005.0,wheel,56,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,pylingual_decompilable:56,56
minishare-0.1005.0.tar.gz,minishare,0.1005.0,tar,56,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,pylingual_decompilable:56,56
oidc_provider-2.3.4.tar.gz,oidc-provider,2.3.4,tar,54,cpython-38,pylingual_decompilable:54,54
qsi_tk-1.4.1-py3-none-any.whl,qsi-tk,1.4.1,wheel,54,cpython-311;cpython-39,pylingual_decompilable:54,54
softwareai-0.5.73-py3-none-any.whl,softwareai,0.5.73,wheel,54,cpython-39,pylingual_decompilable:54,54
softwareai-0.5.73.tar.gz,softwareai,0.5.73,tar,54,cpython-39,pylingual_decompilable:54,54
mathfortranb-0.0.2.tar.gz,mathfortranb,0.0.2,tar,52,cpython-311,pylingual_decompilable:52,52
gptvm-0.1.3-py310-none-any.whl,gptvm,0.1.3,wheel,51,cpython-310,pylingual_decompilable:51,51
