metric,value
findings,12404
unique_bugs,1088
unique_bug_pyc,1088
findings_cpython-310,897
findings_cpython-311,2461
findings_cpython-312,2276
findings_cpython-313,3342
findings_cpython-314,2088
findings_cpython-38,729
findings_cpython-39,611
unique_bugs_cpython-310,131
unique_bugs_cpython-311,147
unique_bugs_cpython-312,159
unique_bugs_cpython-313,244
unique_bugs_cpython-314,182
unique_bugs_cpython-38,115
unique_bugs_cpython-39,110
status_crash,12404
stack_source_gdb-rerun,6922
stack_source_honggfuzz-filename,5482
