metric,value
findings,1009
rows,2018
source_reproduced_findings,0
not_reproduced_by_selected_tools,1009
decompile_ok_rows,1051
source_compile_ok_rows,1051
tool_failure_rows,2018
tool_timeout_rows,1
tool_failure_class:expected_rejection,946
tool_failure_class:tool_robustness_failure,1064
tool_failure_class:translation_failure,8
tool_failure_stage:decompile,967
tool_timeout_stage:decompile,1
tool_failure_stage:rerun,1051
tool_timeout_stage:rerun,0
category:source_reproduced,0
category:unconfirmed,5
category:unavailable_interpreter,0
category:no_source,44
category:compile_failure,959
category:behavior_divergence,1
decompyle3_rows,1009
decompyle3_decompile_ok,87
decompyle3_reproduced,0
decompyle3_failure_rows,1009
decompyle3_timeout_rows,1
decompyle3_failure_class:expected_rejection,901
decompyle3_failure_class:tool_robustness_failure,100
decompyle3_failure_class:translation_failure,8
pylingual_rows,1009
pylingual_decompile_ok,964
pylingual_reproduced,0
pylingual_failure_rows,1009
pylingual_timeout_rows,0
pylingual_failure_class:expected_rejection,45
pylingual_failure_class:tool_robustness_failure,964
cpython-310_findings,127
cpython-310_reproduced,0
cpython-310_behavior_divergence,0
cpython-310_compile_failure,119
cpython-310_no_source,7
cpython-310_unconfirmed,1
cpython-311_findings,144
cpython-311_reproduced,0
cpython-311_behavior_divergence,0
cpython-311_compile_failure,136
cpython-311_no_source,7
cpython-311_unconfirmed,1
cpython-312_findings,156
cpython-312_reproduced,0
cpython-312_behavior_divergence,0
cpython-312_compile_failure,149
cpython-312_no_source,7
cpython-312_unconfirmed,0
cpython-313_findings,198
cpython-313_reproduced,0
cpython-313_behavior_divergence,0
cpython-313_compile_failure,192
cpython-313_no_source,5
cpython-313_unconfirmed,1
cpython-314_findings,163
cpython-314_reproduced,0
cpython-314_behavior_divergence,0
cpython-314_compile_failure,154
cpython-314_no_source,8
cpython-314_unconfirmed,1
cpython-38_findings,112
cpython-38_reproduced,0
cpython-38_behavior_divergence,1
cpython-38_compile_failure,106
cpython-38_no_source,4
cpython-38_unconfirmed,1
cpython-39_findings,109
cpython-39_reproduced,0
cpython-39_behavior_divergence,0
cpython-39_compile_failure,103
cpython-39_no_source,6
cpython-39_unconfirmed,0
