python_tag,finding,decompiler,stage,status,failure_class,reason,bytecode_status,source_path,compiled_pyc
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-15636d60b9a3.pyc,decompyle3,decompile,error,expected_rejection,"# decompyle3 version 3.9.3 # Python bytecode version base 3.10 (3439) # Decompiled from: Python 3.10.12 (main, Mar 3 2026, 11:56:32) [GCC 11.4.0] # Embedded file name: data/rq3/cpython-3.10/unittest_seeds/raw/cpython_case_test_range_Rang...",exit_1,data/rq4/source_candidates/cpython-310/cpython-310-15636d60b9a3/decompyle3.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-15636d60b9a3.pyc,pylingual,rerun,exit_1,tool_robustness_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-15636d60b9a3/pylingual.py"", line 1 ────────────────────────────────────────────────────────────────────────...",exit_1,data/rq4/source_candidates/cpython-310/cpython-310-15636d60b9a3/pylingual.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-02173bb381ec.pyc,decompyle3,decompile,error,expected_rejection,"# decompyle3 version 3.9.3 # Python bytecode version base 3.10 (3439) # Decompiled from: Python 3.10.12 (main, Mar 3 2026, 11:56:32) [GCC 11.4.0] # Embedded file name: data/rq3/cpython-3.10/unittest_seeds/raw/cpython_case_test_itertools_...",crash,data/rq4/source_candidates/cpython-310/cpython-310-02173bb381ec/decompyle3.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-02173bb381ec.pyc,pylingual,rerun,exit_1,tool_robustness_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-02173bb381ec/pylingual.py"", line 1 ────────────────────────────────────────────────────────────────────────...",crash,data/rq4/source_candidates/cpython-310/cpython-310-02173bb381ec/pylingual.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-176fa4283320.pyc,decompyle3,decompile,error,expected_rejection,"# decompyle3 version 3.9.3 # Python bytecode version base 3.10 (3439) # Decompiled from: Python 3.10.12 (main, Mar 3 2026, 11:56:32) [GCC 11.4.0] # Embedded file name: data/rq3/cpython-3.10/unittest_seeds/raw/cpython_case_test_positional...",crash,data/rq4/source_candidates/cpython-310/cpython-310-176fa4283320/decompyle3.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-176fa4283320.pyc,pylingual,rerun,exit_1,tool_robustness_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-176fa4283320/pylingual.py"", line 1 ────────────────────────────────────────────────────────────────────────...",crash,data/rq4/source_candidates/cpython-310/cpython-310-176fa4283320/pylingual.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1933bbc9617a.pyc,decompyle3,decompile,error,expected_rejection,"# decompyle3 version 3.9.3 # Python bytecode version base 3.10 (3439) # Decompiled from: Python 3.10.12 (main, Mar 3 2026, 11:56:32) [GCC 11.4.0] # Embedded file name: data/rq3/cpython-3.10/unittest_seeds/raw/cpython_case_test_set_TestSe...",crash,data/rq4/source_candidates/cpython-310/cpython-310-1933bbc9617a/decompyle3.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1933bbc9617a.pyc,pylingual,rerun,exit_1,tool_robustness_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-1933bbc9617a/pylingual.py"", line 1 ────────────────────────────────────────────────────────────────────────...",crash,data/rq4/source_candidates/cpython-310/cpython-310-1933bbc9617a/pylingual.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-13550de95770.pyc,decompyle3,decompile,error,expected_rejection,"# decompyle3 version 3.9.3 # Python bytecode version base 3.10 (3439) # Decompiled from: Python 3.10.12 (main, Mar 3 2026, 11:56:32) [GCC 11.4.0] # Embedded file name: data/rq3/cpython-3.10/unittest_seeds/raw/cpython_case_test_inspect_T...",crash,data/rq4/source_candidates/cpython-310/cpython-310-13550de95770/decompyle3.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-13550de95770.pyc,pylingual,rerun,exit_1,tool_robustness_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-13550de95770/pylingual.py"", line 1 ────────────────────────────────────────────────────────────────────────...",crash,data/rq4/source_candidates/cpython-310/cpython-310-13550de95770/pylingual.py,
