python_tag,interpreter,env_dir,tool,status,reason
cpython-310,data/rq2/envs/cpython-310/bin/python,data/rq2/envs/cpython-310,venv,ok,exists
cpython-310,data/rq2/envs/cpython-310/bin/python,data/rq2/envs/cpython-310,uncompyle6,ok,exists
cpython-310,data/rq2/envs/cpython-310/bin/python,data/rq2/envs/cpython-310,decompyle3,ok,exists
cpython-311,data/rq2/envs/cpython-311/bin/python,data/rq2/envs/cpython-311,venv,ok,exists
cpython-311,data/rq2/envs/cpython-311/bin/python,data/rq2/envs/cpython-311,uncompyle6,ok,exists
cpython-311,data/rq2/envs/cpython-311/bin/python,data/rq2/envs/cpython-311,decompyle3,ok,exists
cpython-312,/root/.local/bin/python3.12,data/rq2/envs/cpython-312,venv,ok,
cpython-312,/root/.local/bin/python3.12,data/rq2/envs/cpython-312,uncompyle6,ok,
cpython-312,/root/.local/bin/python3.12,data/rq2/envs/cpython-312,decompyle3,ok,
cpython-313,/root/.local/bin/python3.13,data/rq2/envs/cpython-313,venv,ok,
cpython-313,/root/.local/bin/python3.13,data/rq2/envs/cpython-313,uncompyle6,ok,
cpython-313,/root/.local/bin/python3.13,data/rq2/envs/cpython-313,decompyle3,ok,
cpython-314,/root/.local/bin/python3.14,data/rq2/envs/cpython-314,venv,ok,
cpython-314,/root/.local/bin/python3.14,data/rq2/envs/cpython-314,uncompyle6,ok,
cpython-314,/root/.local/bin/python3.14,data/rq2/envs/cpython-314,decompyle3,ok,
cpython-315,/root/.local/bin/python3.15,data/rq2/envs/cpython-315,cpython,ok,
cpython-315,/root/.local/bin/python3.15,data/rq2/envs/cpython-315,venv,ok,
cpython-315,/root/.local/bin/python3.15,data/rq2/envs/cpython-315,uncompyle6,ok,
cpython-315,/root/.local/bin/python3.15,data/rq2/envs/cpython-315,decompyle3,ok,
cpython-36,,data/rq2/envs/cpython-36,cpython,installer_unavailable,install python3.6 or install apt/uv/pyenv
cpython-37,,data/rq2/envs/cpython-37,cpython,installer_unavailable,install python3.7 or install apt/uv/pyenv
cpython-38,/root/.local/bin/python3.8,data/rq2/envs/cpython-38,venv,ok,
cpython-38,/root/.local/bin/python3.8,data/rq2/envs/cpython-38,uncompyle6,ok,
cpython-38,/root/.local/bin/python3.8,data/rq2/envs/cpython-38,decompyle3,ok,
cpython-39,/root/.local/bin/python3.9,data/rq2/envs/cpython-39,venv,ok,
cpython-39,/root/.local/bin/python3.9,data/rq2/envs/cpython-39,uncompyle6,ok,
cpython-39,/root/.local/bin/python3.9,data/rq2/envs/cpython-39,decompyle3,ok,
